mana man kagam	мой друг мне писал
a man ditte minzerlem amorzitte molem	а я потом сварю есть стану
i tan amorlel	и ты поешь
jakshe di	это хорошо
wot	вот
man diʔne milem von gidaʔ	я ему даю вон сколько
a di mana idie idie miliet	а он мне мало-мало дает
nu kanzebej manziʔ	ну пошли со мной
giber	куда
da diber	да туда
a ial	а твоя мать
ial 	мать пускай…
ej ilem iam	не возьму мать
a shidegoʔ kanzebej	давай вдвоем пойдем
a  giber	а куда
da von diber	да вон туда
gijen il	где люди
a imbi di digen	а что это там
imbi-nibud norbelaʔi	чем-то говорят
norbelaʔi imbi-nibud	они что-то говорят
a man imbide ej norbelam	а я ничего не буду говорить
a moʔ ej norbelal	а почему не будешь говорить
dok	нет
ezeli norbezitte bile il molam	если говорить я плохим человеком стану
mo dereʔ	почему
dok jakshe il	нет хорошим человеком
dok bile il	нет плохим человеком
no man ari durlem tanan	ну я пойду тобой
man abam tan abal dabrolaʔi	мой отец с твоим отцом ругаются
mo di dabrolaʔi	почему они ругаются
dak di mallat tan abal mallat man nim jakshe kuvas	да он говорит твой отец говорит мой сын хороший красивый
a tan koʔbdo ej jakshe	а твоя дочь не хорошая
a man abam mallat eh man koʔbdom jakshe	а мой отец говорит эх моя дочь хорошая
i kuvas	и красивая
i bar imbi bar imbi mallat	и всё-всё говорит
i tan nil ej jakshe	а твой сын не хорош
imbide ej norbelat mana	ничего мне не говорит
a man koʔbdom bar imbi bar	а моя дочь всё-всё 
tanan uge norbelapliet	тебе всегда говорит
vot	вот
teper pozhalujsta dalshe po-washemu	теперь пожалуйста дальше по-вашему
a mozhet bit znajete jescho	а может быть знаете ещё
pozhalujsta	пожалуйста
po-kamasinski	по-камасински
a eto eto tozhe	а это это тоже
a	а…
da pozhalujsta	да пожалуйста
mi nachnom	мы начнём
pozhalujsta	пожалуйста
pozhalujsta rasskazhite jescho ob etih mednih kotlah kak eto bili na ulitse i	пожалуйста расскажите ещё об этих медных котлах как это были на улице и
chto w jurte bilo tam kakoj ogon	что в юрте было там какой огонь
po-washemu	по-вашему
pozha- da da da pozhalujsta pozhalujsta	пожа- да да да пожалуйста пожалуйста
wso	всё
nachnom pozhalujsta	начнём пожалуйста
pozhalujsta	пожалуйста
pozhalujsta	пожалуйста
pozhalujsta	пожалуйста
 pozhalujsta teper jescho nachala ona ostanowila kak eto bilo	пожалуйста теперь ещё начала она остановила как это было
pozhalujsta snowa	пожалуйста снова
eto	это…
teper chto wi dumali	теперь что вы думали
jah pozhalujsta dalshe	да пожалуйста дальше
pozhalujsta	пожалуйста
no horosho a jesli bili rani ili  chto togda delali	но хорошо а если были раны или … что тогда делали
pozhalujsta po-washemu	пожалуйста по-вашему
a jesli gnoitsa chto togda delali	а если гноится что тогда делали
a jesli tam bili  ili zhiwot i kogda u detej bolel chto delali	а если там были … или живот и когда у детей болел что делали
oota	подожди
 pozhalujsta	пожалуйста
pozhalujsta	пожалуйста
tak chto - a chto - teper mozhete  rasskazat chto delajet kogda prijehajet tam gosti ili rodstwenniki k wam	так что - а что - теперь можете рассказать что делает когда приехает там гости или родственники к вам
a 	а…
pozhalujsta	пожалуйста
a gde spali togda	а где спали тогда
gde spali krowati tozhe ne bilo	где спали кровати тоже не было
mozhete pozhalujsta	можете пожалуйста
a mozhete li wi goworit teper o dozhde i o grade chto eti del-	а можете ли вы говорить теперь о дожде и о граде что эти дел-
pozhalujsta	пожалуйста
 oot-oot pozhalujsta	подожди-подожди пожалуйста
palun	пожалуйста
pozhalujsta	пожалуйста
pozhalujsta	пожалуйста
a kak wi pechote hleb	а как вы печёте хлеб
da	да
i kak wi eto chto tam delajete ranshe	и как вы это что там делаете раньше
pozhalujsta	пожалуйста
kak eto do swidanija	как это до свидания
 do swidanija bilo	до свидания было
ah wso	ах всё
pozhalujsta	пожалуйста
da pozhalujsta	да пожалуйста
idi s bogom	иди с богом
no p -	но п -
pozhalujsta	пожалуйста
nu ladno	ну ладно
digette kambi mibi di kuza shide koʔbdo	потом он пошел тот человек отдал ему обеих дочерей
i digette di kambi	и тогда он ушел
mandlaʔbe bar iʔgo tuzoj milleʔbeʔje din	видит много коров пасется
kuza dizeng mandolaʔbe	человек за ними следит
di mande di man tuzojʔje	он говорит это мои коровы
a di mande dok ej tan	а тот говорит нет не твои
dok man	нет мои
digette amnolbiʔi oniʔ majane koʔbdo oniʔ bugen tonde	потом они посадили одну девушку на горе другую на берегу реки
digette mallia di kuzam	потом он говорит спроси этого человека
girgit kuza	какого человека
pagende majagen amnolaʔbe	сидит на горе
i surarde gijen no bugen tonde amnolaʔbe	и спроси где - кто сидит на берегу реки
digette di kirgarlaʔbe	тогда тот закричал
di diʔne imbide ej malleʔbe	та ему ничего не сказала
digette di kirgarlaʔbe	потом он крикнул
diʔne mande tan tan tuzojle bar	ему она говорит
digette kirgarlaʔbe bugen tonde	потом он кричит  которая на берегу реки
di mande ej tan tuzojde	та говорит не твои коровы
di boste kirgarluʔpi di komen 	он сам крикнул этот красная 
man tuzojbeʔi di wot tam mande man tuzojbeʔi	это мои коровы там говорит он это мои коровы
digette tuzojde ibi	тогда он взял коров
digette manderbi ineʔi	потом он увидел лошадей
iʔgo toze kuza dizeng mandolaʔbe	много тоже человек за ними следит
di shobi di man ineʔi	он подошел это мои коровы
ej tan	не твои
a di mande dok man ineʔi	а он говорит нет мои коровы
digette di mande surarde majagen amnolaʔbe i bugen tonde	потом он говорит
di surarbi imbide ej mallia	тот спросил ничего не сказала
di surarbi diʔne mande tan inezengde tan it	попросил она ему ответила это твои лошади твои забирай
digette bugen tonde surarbi	потом на берегу он спросил
imbide ej mambi	она ничего не сказала
digette di surarbi tan ineʔi tan ineʔi	потом спросил  это твои лошади твои лошади
di dizeng ibi i kambi	он взял их и ушел
digette amnobi	потом живёт
shide koʔbdo	двумя девушками
digette iʔbolaʔbe i nujleʔbe	потом лежит и поет
oniʔ ular ibiem shide ular ibiem	одну овцу взял две овцы взял
nuke kulambi	женщина умерла
di nukene shide koʔbdo ibiem	за эту женщину двух девушек взял
boste nujleʔbe	он сам поет
digette tuzoj ibiem	потом я взял двух коров
digette ineʔi ibiem	потом я взял лошадей
nujleʔbe	он поёт
a dizeng diʔne ulunde 	а они у него на голове…
un manderlaʔbeʔje	они стали вшей искать 
digette di kunolluʔpi	потом он уснул
dizeng bazaj minzerbiʔi i diʔne kune kamnalbiʔi	они растопили железо и налили ему в ухо
di digette kulambi	тогда он умер
digette di koʔbsang ibiʔi bar di tuzojeʔi ineʔi i boste abande kalla durbiʔi	потом эти девушки взяли все коров лошадей - и пошли к своему отцу
skazke konets	сказке конец
ne znaju uzhe 	не знаю уже …
eto nasha uzhe eto 	это наша уже это …
nashi goworili skazku	наши говорили сказку
lezhal i pel za mortwuju staruhu dwe dochki wzal	лежал и пел за мёртвую старуху две дочки взял
mozhet ne nado	может не надо
za mortwuju starushku dwe dochki wzal	за мёртвую старушку две дочки взял
a ja goworila uzhe	а я говорила уже
eto skazka eto sama zhe	это сказка это сама же
ja i wot ja tebe i hochu rasskazat kak on	я и… вот я тебе и хочу рассказать как он
kak nabral	как он набрал
pustit	пустить
digette poʔto diʔpiʔi	потом они стреляли коз
i kubazangde abiʔi	и выделывали шкуры
digette embiʔi	потом клали их в 
digette batlaʔbeʔje noznitseʔine	потом резали ножницами
digette shoʔleʔbeʔje i nimi i indak	потом они шили их иголкой наперстком
i nitkaʔi shoʔleʔbeʔje	и нитками шили
kuvas tarzi nuʔnen a kubazangde shujonde i sherleʔbeʔje	красивые мехом наружу а кожей внутрь и носят 
digette milleʔbeʔje gijen iʔgo ige sire	потом они идут туда где много снего
i din iʔbolaʔbe i shu ej elleʔbe	и там лежат и не разводят огонь
i diʔne eju din di pargagen	и им тепло в этой шубе
samejleʔbe milleʔbeʔje	охотятся кочуют
hwatit poka	хватит пока
 kak s kraju skazat pogodite	как с краю сказать погодите
kamen dizeng turazangde abiʔi	когда они делали свои дома
kuznek abiʔi	окно делали
digette shobi varlam dizengde	потом к ним пришел варлам
malliaʔi shishege amnozitte a di deʔpi bazaj pesh	они говорят холодно жить и он принес железную печь
dizeng nuldebiʔi i nendebiʔi	они поставили ее на и затопили
di bar naniluʔpi	она загорелась
din ze shu ige	там же огонь
imbide ej  	они ничего не положили 
digette bareʔluʔpi niʔde	тогда они выбросили ее наружу
digette di shobi ej jakshe	потом пришел это плохо
digette di kambi	потом он ушел
tilbi	выкопал
pi deʔpi oniʔ peshde	принес камень для печи
nuldebi	поставил его
oniʔ dune 	на одно место 
digette di peshde dazirbi i nendluʔpi	потом он печь и растопил ее
dizeng amnolaʔbeʔje ugande jakshe eju molambi	они живут очень хорошо тепло стало
poka hwatit	пока хватит
digette shobi varlam	потом пришел варлам
nuke	женщина
nuldaʔ kujdergan	поставь самовар
di kambi	он ушел
gijen kos embiʔi di diber bu embi	туда куда кладут уголь она налила воды
digette shobi turane	потом он вошел в дом
deʔpiel kujdergan bu mangnaʔbe	самовар который ты принес течет
di shobi da mande dober kamnaʔ bu a dober kos ende	он пришел и сказал
digette di diber kambi bu	тогда она налила туда воду
kos embi di bar minzerleʔbe	положила угли он кипит
dibige molaʔpi	теплый стал
aga	ага
no mozhno wi uzhe	но можно вы уже…
wi uzhe prikrili	вы уже прикрыли
digette dizeng kashevarkaʔi ibiʔi	у них были кашеварки
ibiʔi aspaʔi medneʔi	были котлы медные
minzerbiʔi niʔnen	они готовили еду на улице
uja kola minzerbiʔi	мясо рыбу варили
ambiʔi bar	ели
dizeng ipekte-ta nagobi	хлеба-то у них не было
uge uja da kola ambiʔi	всегда ели мясо да рыбу
i minzerleʔbeʔje din i amnaʔbeʔje	варили там и ели
a kamen shinde kutlej iʔgo minzerleʔi bar	а когда кто-нибудь убьет  тогда они много готовят
digette bar il sholeʔje i  amzitte uja	тогда все приходят и садятся есть мясо
amnaʔbeʔje uja digette a miʔ uduge ibiʔi	едят мясо а мы были маленькие
miʔnibeʔ idiʔe uja mileʔi	нам немножко мяса дадут
a miʔ bar suʔmileʔbebaʔ	и мы прыгаемтанцуем
dizeng kak  mande iʔ eneidene erseʔ ne diʔte ne kudollaʔbeʔje	они как начнут ругаться я говорю черт возьми б… больная - ругаются
dizeng ej timnebiʔi kudolzitte	они не умели ругаться
a di diregeʔi dizeng tushelbiʔi	поселенцы их научили
digette dizeng kudonzebiʔi	потом они ругаться
dizeng imbide ej timnebiʔi	они ничего не знали
kamen shobiʔi dizeng tushelbiʔi	когда пришли они научили
erten uʔbdebiʔi	они утром встали
minzerbiʔi boskende ambiʔi	приготовили себе еду поели
digette shapko ibiʔi	потом взяли косу
kambiʔi noʔ jaʔsitte shapkoziʔ	пошли траву косить косой
iʔgo jaʔlaʔbeʔje	много накосили
digette kamen kobi di noʔ dizeng dim bar kuʔpiʔi kobi di	потом когда эта трава высохла… они ее разбросали она высохла
dizeng dim oʔbdebiʔi	они ее собрали
abiʔi kopnaʔi	сложили в копны
digette abiʔi urgo zarodeʔi	потом сделали большие зародыю
tazerluʔpiʔi	перенесли
embiʔi	сложили
digette kamen sire molej inezeng tazerbiʔi mande	потом когда лег снег лошади перевезли ее домой
ineʔi ambiʔi tuzojeʔi ambiʔi	лошади ели коровы ели
ulareʔi ambiʔi	овцы ели
skazhu	скажу
kamen dizeng mimbiʔi aleneʔi ineziʔ dizeng dizeng tawrili dizengde	когда они кочевали на своих оленей и лошадей они ставили тавро
tar nagobi diʔne	на нём шерсти не было
digette oʔlubiʔi dizeng stali 	потом они их отпустили они начали болеть
dizeng stali izemzitte diʔne	они стали болеть этого
digette di oʔlubiʔi kambiʔi dijene	потом их отпустили они пошли в тайгу
a uz man ozerbiem kuʔpiʔi oniʔ alen	я уже была большая убили одного оленя
din tawrona ibi	у него было тавро
dizeng amnobiʔi aleneʔi nagobiʔi	они жили оленей у них не было
digette dizeng ineʔi mimbiʔi	потом они кочевали на лошадях
konzerlaʔbeʔje i amlaʔbeʔje kandegaʔi dijene ali sane azitte	их седлали и садились ехали в лес или орехи собирать
mimbiʔi ineʔiziʔ	ездили на лошадях
a dizeng nagobi	а их не было
digette 	тогда…
gospodi	господи
 inezengde uge 	…их лошади всегда…
nu eto	ну это…
digette 	тогда…
 digette kambiʔi	седлали их потом ехали
dijene sane abiʔi digette shobiʔi mande sane deʔpiʔi	в лесу собирали орехи потом ехали домой орехи привозили
esseng sane ileʔbeʔje	дети берут орехи
digette kazan turane kumbiʔi sadarlaʔbeʔi	потом везли в агинское продавали
shide shide ileʔi	два получат
digette sholeʔje mande ipek ileʔi	потом приедут домой хлеба купят
dizeng iʔgo ibiʔi dugen iʔbolaʔpiʔi dak dizeng tuʔpiʔi dogatsiʔ	у них было много  когда они лежали на земле они мазали дегтем
a digette erten uʔbdebiʔi da sabenziʔ	а потом утром вставали и мылись с мылом
digette unuʔi grebenzi tileʔpiʔi	потом вычесывали вшей гребнем
kuʔpiʔi	убивали 
jesli izembi uda ili uju ili baʔpi di izemnie digette dizeng kambiʔi dijene	если болит рука или голова или кто-то порезался и это место болит тогда они шли в лес
din pixtaʔi din ibiʔi di i duʔbiʔi di digette ej izemnie	там были пихты они мазали смолой и оно после этого не болело
kamen tang izembi dak dizeng abiʔi plastir embiʔi	если сильно болело они накладывали пластырь
digette ozerleʔbe i jakshe molaʔbe	потом он вырастет и станет хорошо
di plastirde sa abiʔi jelowij	на этот пластырь накладывали еловую смолу
kobergen 	делали луком
wosk elbiʔi	воск делали и прикладывали
digette duʔlaʔpiʔi jakshe molaʔpi	потам мазали становилось хорошо
iʔgo esseng ospaziʔ izembiʔi	у многих детей была оспа
kulambiʔi korju	умирали от кори
digette shobiʔi ilde dazirlaʔpiʔi	потом пришли люди вылечили 
nuldebiʔi udande baʔpiʔi ospa nuldebiʔi	они делали прививки кололи в руку делали прививку от оспы
digette ej kulambiʔi	потом они не умирали
amga kulambiʔi	мало кто умирал
a tuj wowse ej kulalleʔi iʔgo esseng	а сейчас и вовсе много детей не умирает
kamen izembiʔi gorlazangde digette dizeng bu minzelbiʔi	когда у них болело горло они кипятили воду
trubkaʔi angde embiʔi dizeng bar boskende	вставляли трубку себе в рот
diber eju shobi	туда шло тепло
girgit kulambiʔi girgit ej kulambiʔi	некоторые умирали некоторые не умирали
dazirbiʔi il	людей так лечили
digette nagobiʔi balnitsaʔi nagobiʔi imbide nagobiʔi	у них не было больниц ничего не было
miʔ dirgit noʔ ige	у нас есть такая трава
kamen kuzan zaludka izemneʔbe	когда у человека болит желудок
di jakshe noʔ daze kamen rak ibi di jakshe molaʔbe	это хорошая трава даже когда у кого-нибудь был рак ему становилось лучше
di izembi uge	вот всегда был болен
imbide amzitte ej mobi	ничего есть не мог
man mambiam bideʔ di noʔ	я сказала выпей эту траву
di jakshe	она хорошая
teneliel shto man tanan ej jakshe	ты думаешь я тебе плохое 
kulallel	ты умрешь
digette man abiam dibige bu kamnabiam	потом я согрела воду налила
bospe biʔpiem diʔne mibiem	сама выпила и ему дала
tuj di bar imbi amnia jakshe molambi di noʔke	сейчас он все есть выздоровел от этой травы
miʔ il amnobiʔi	наши люди жили
dizeng man tuganbe ibiʔi	они были мои родственники
digette amnobiʔi	они жили
a din ne bashka tibi kubi	а его жена нашла другого мужчину
i ibi da diʔne ulube jaʔtebi	а взял и отрезал голову
i kunnambi gijen iʔgo saloma din tilbiʔi	и унес туда где много соломы там закопал
bareʔluʔpiʔi	бросили 
digette dim manderbiʔi	потом его искали
digette dim sudili diʔne	потом его судили за это
din oʔlubiʔi saxalinde	его отправили на сахалин
essengde miʔnibeʔ shobiʔi	его дети к нам пришли
din ninde man sestram tibine kambi	моя сестра вышла замуж за его сына
no kamen sholeʔje boste il	ну когда приезжают свои люди 
digette dizeng minzerleʔbeʔje uja	тогда варят мясо
ara detleʔi	водку приносят
amnelaʔbeʔje stolde	садятся за стол
bar imbi nuldelaʔbeʔje	ставят все 
digette amnaʔbeʔje ara bitleʔbeʔje	потом едят пьют водку
munujʔ amnaʔbeʔje oroma sut ipek uja kola	едят яйца сметану молоко злеб мясо рыбу
dizeng kogda sholeʔje diʔne jadajlaʔ dizeng stolde ileʔi	когда придут к человеку в гости берут стол
dune elleʔbeʔje digette diber nuldlaʔbeʔje imbi amzitte amnaʔbeʔje dugen	ставят на землю потом туда ставят еду садятся
i amnaʔbeʔje	едят горячую 
tugande jaʔtarlaʔ shobiʔi dizengde	родственники пришли к ним в гости
digette nujne nujleʔbeʔje boste shiketsiʔ	они поют песни на своем языке
dizeng kunolbiʔi dugen	они спали на полу
maʔen	в чуме
di kubaʔi elleʔbeʔje diʔne iʔbebi	клали шкуры на них ложились
ulunde padushkaʔi embiʔi	голову подушки клали
i kunolbiʔi	и спали
esseng dare ze kunolbiʔi	дети так же спали
a shujonde idiʔe shu embiʔi eju di maʔgende	а внутри небольшой огонь зажигали и было тепло в чуме
digette amnobiʔi	так они жили
baltuzi jaʔpiʔi pa i dazirbiʔi	топором рубили деревья и их
abiʔi lizaʔi	делали лыжи
dibige buziʔ abiʔi	с помощью теплой воды делали
digette dibige buziʔ don i din digette shoʔpiʔi	потом тут и там теплую воду потом шили
poʔton ujuzangde ibiʔi shoʔpiʔi	брали с ног козы и шили
digette klej abiʔi	потом клей делали
embiʔi diʔne	прикладывали туда
digette majane kambiʔi	потом шли в горы
i mimbiʔi samejzitte	и шли охотиться
kamen shisege ibi	когда было холодно
sire ibi jakshe	снег был хороший
dizengde udin sholal dak sire ugande neshpek	когда пешком идешь снег очень толстый
surno shonega ugande	дождь идет сильно
surno ugande tang shobi	шел сильный дождь
iʔgo bu az dugen ibi	много воды аж на земле она была 
digette surno nagobi	потом не было дождя
digette shobi	потом пошел град
toskanak shobi 	град шел у нас
kuznek toʔnarbi bar	окно разбил
ipek bar toʔnarbi bar imbi	побил весь хлеб
menzengde dizeng jakshe ibiʔi	собаки у них были хорошие
ugande manderbiʔi	очень следили
dizeng i poʔto dabiʔi	они и коз ловили
i girgit son nuldebiʔi	иногда они останавливали оленя
digette kuza sholej i kutlej	потом человек придет и убьет 
i urgaba i to nuldebiʔi men jakshe ibiʔi	они даже медведя останавливали собаки хорошие были
ej jakshe men dak kuzam urgaba amluʔlej	если собака плохая медведь съест человека
kamen dizeng zubreʔi kutlaʔbeʔi digette dizeng ragazangde ibiʔi	когда они убивали изюбря они брали его рога
i digette dibige bune embiʔi	и клали в горячую воду
shtobi di jakshe mobiʔi	они становились хорошими
digette mande shobiʔi	потом они приходили домой
bazoʔ bune 	опять клали их в 
i kobiʔi digette kunbiʔi sadarlaʔpi	и сушили потом увозили и продавали
iʔgo akta ibiʔi	получали много денег
kamen dizeng aleneʔi ibiʔi	когда у них были олени
dizeng kambiʔi dijene	они ездили в лес
dizeng 	доили их
sut ambiʔi dizen	ели их молоко
kalla durbiʔi	они уходили
boste kalleʔi	сами ходили
ne ileʔi essengde i kalla durlej delamde din kola daʔpiʔi	они берут женщин детей и идут на белогорье там ловят рыбу
i uja uja diʔpiʔi multuksiʔ	и стреляют мясо их ружья
uja ambiʔi i kobiʔi uja	они ели мясо и сушили мясо
digette dim dagarlaʔpiʔi	потом его резали
i barane embiʔi i mande deʔpiʔi	и клали в мешок и привозили домой
oʔb shide nagur teʔte sumna muktuʔ sejʔpu amitun shinteʔte beʔ	один два три четыре пять шесть семь девять восемь десять
beʔ oniʔ beʔ shide teʔte beʔ 	одиннадцать двенадцать четырнадцать
beʔ oniʔ beʔ shide beʔ nagur beʔ teʔte beʔ sumna beʔ sejʔpu beʔ shinteʔte amitun beʔ	одиннадцать двенадцать тринадцать четырнадцать пятнадцать семнадцать восемнадцать девятнадцать
shide beʔ	двадцать
digette urgo ibiʔi	еще большие мыши были
kroteʔi urgo i krisaʔi urgo ibiʔi	большие кроты и большие мыши были
tumaʔi uduge ibiʔi	мыши были маленькие
dizengziʔ ej mobi daze tospak dabrozitte	с ними не мог даже кот бороться
ej mobi	не мог
il nujdebiʔi kajdom majdom	у нас люди пели кайдом-майдом
starigem miʔen	старики у нас
giber tan kandegal	куда ты идешь
jaʔtarla kandegal	в гости идешь
iʔ mana boskenziʔ	возьми меня с собой
no kanzebej	ну пойдем
digette kambiʔi jaʔtarla din ara biʔpiʔi	он пошли в гости там выпили водки
digette mande shobiʔi	потом пришли домой
dizeng tilbiʔi sarankaʔi	они копали саранку
i digette dim bazejbiʔi	потом ее мыли
i kobiʔi	и сушили
i abiʔi leposhkaʔi	и делали лепешки
purbiʔi	жарили
embiʔi koste zalane din 	клали в угли в золу туда…
digette din purleʔbe	потом там пекли
digette amniaʔi	потом едят
urgo peshken	в большой печке
amnolliam purleʔbem	ставлю и пеку
nu kajaʔsiʔ duʔlaʔbem	ну я мажу маслом
digette formane endleʔbem	потом кладу в форму
i peshken 	и в печи
di purleʔbe digette sus	он печется потом 
oniʔ ali oniʔ chas amnolaʔbe digette 	стоит один час потом…
ilem dober digette 	я беру туда потом…
enlem da kajbiam	ставлю и закрываю
kamen miʔnibeʔ il shobiʔi diregeʔi	когда к нам люди пришли поселенцы
digette di esseng sholeʔi miʔnibeʔ kak 	дети пришли к нам как…
manderliaʔi nuʔmeleʔbeʔje mande	они смотрят и бегут в дом
pimnieʔi dizengde	боялись их
oniʔ kuza dijene kambi	один человек пошел в тайгу
digette diʔne urgaba shobi	к нему пришел медведь
hoteldim amzitte	хотел его съесть
a di ej nereʔluʔpi shiket di ibi da dabolaʔpi	а он не испугался схватил его язык держит его
digette dagajziʔ dim muʔluʔbi di kulambi	потом нож воткнул он умер
digette shobi mande i davaj norbeste ilde	потом он пришел домой и стал рассказывать людям
shto dare ibi	что было так
ne 	не 
digette di shobi turane	потом приходит в дом
mande zdarowa igel	говорит здравствуй
di mande zdarowa igel	тот говорит здравствуй
idi s chelowekom	иди с человеком
kanaʔ 	иди…
a-a kudajziʔ nu eto	а с богом ну это
nu otkrila	ну открыла
kanaʔ kudajziʔ maʔnel	иди домой с богом
tanziʔ kandega	бог идет с тобой
las olla las olla las olla las ta raagib  edasi	пускай пускай пускай пусть она дальше рассказывает
digette di koʔbdo kambi kambi	потом дочка шла шла
kubi oniʔ nuke nitsi amnolaʔbeʔje	увидела женщину которая жила со своим сыном
dizengde shobi	она пришла к ним
dizeng dim badebiʔi	они её накормили
digette din shabi	потом она там заночевала
iat mande kanaʔ 	мать говорит  иди
kanzebaʔ magazinde kanzebiʔi	пойдём в магазин они 
tan mandoʔ imbi ilej di	ты смотри что он купит
ineʔine kurerzitte ilej ili koʔbdon oldat mandelej	лошадиную упряжь купит или на женскую одежду будет смотреть
koʔbdon oldat mandelej dak di koʔbdo	если будет на женскую одежду смотреть значит девушка
a ineʔine mandelej imbi izitte dak di ni	а если будет смотреть что для лошадей купить то парень
di kambi	она пошла
ineʔine kurerzitte imbi manderbi	она смотрела на то чем лошадей запрягать
a di ni koʔbdon olda	а этот парень на женскую одежду
shobiʔi mande	они пришли домой
iande mande di ni	он матери говорит это парень
no kanaʔ dizi multane	ну сходи с ним в баню
di koʔbdo kambi multane nit kambi multane	эта девушка пошла в баню сын пошёл в баню
di imbide ej  kujnekde ej suʔbebi piʔmeʔi ej subeʔbi dare bazebi ulube	она ничего ни рубашку не сняла ни штаны не сняла так голову мыла
digette nit shobi	потом сын пришёл
saben ibi toze dare bazejbebi shobi	он взял мыло  тоже так помылся пришёл 
di ni ej koʔbdo	это парень не девушка
digette di kambi maʔni di koʔbdo	потом эта девушка пошла домой
bu shobi	пришла к реке
drugoj staranane bugeʔ kambi mande	на ту сторону перешла говорит
nujuʔi perbi	показала свою грудь
tan ipekbe ambial kujel man kajit nujuʔi urgo ozerbiʔi	ты съел мой хлеб  смотри какие у меня груди большие выросли
di kambi di nuke mande eneidenene	она ушла эта женщина говорит своему духу
kanaʔ bideʔ di koʔbdom dette dober	пойди догони эту девушку и сюда принеси
di kambi	он пошёл
dim ibi	взял её
kunollaʔpi i deʔpi dober	спала и её сюда принёс
digette di nuke di nizi amnobiʔi	потом эта женщина жила с этим сыном
kuzneʔkem tonde len keʔbde minggelleʔbe	за окном черёмуха качается
dagagen shindide dabakteria	на реке кто-то разговаривает
din bar nujluʔbeʔje salavjiʔi	там соловьи всё поют
man uz ej dorlam ej tenolaʔpiem	я уж не плачу не горюю
tuj uz ej parlej imbi ibi	что было теперь уж не вернётся
man uz ej ajiriam shto tan mana barluʔpiam	я уж не жалею что ты меня покинул
ajiriam shto il iʔgo dabakteriaʔi	я жалею что люди много говорят
mana nedolgo nuʔmeste uz 	мне недолго добежать до проруби
gijen sire eʔbde uz bu ej kamlej	где вода не на мои светлые волосы
dagagen ej nunnie uz golaste	на реке голоса уже не слышно
tuj uz dashka ej nujleʔbeʔje	теперь не поют уже…
uz ej nujleʔbeʔje uz dashka salavji	соловьи уж больше не поют
giber akti kumbial mana jakshe akti	куда ты ведёшь меня дорожка
giber kashtelial i giber kandegam	куда ты зовёшь и куда я иду
shindim edeʔpiem shindim ajirbiam di uz parluj dashka	кого я ждала кого любила тот уж больше не вернётся
man koʔbdo ibiem sageshte naga	я девочка была беспечная
a man elem sijde naga	а моя подруга бессердечная
man tibim di ibi	моего мужчину отняла
teinen anissa mande dizengde aktazangde-ta i to ajiriaʔi mizitte	сегодня анисья говорит им денег и то жалко дать
gosudarstwennij akta	государственные деньги
a man mambiam dizengde iʔgo ej mileʔi	а я говорю им много не дадут
a mileʔi tolka dizengde pajka oniʔ	а дадут только один 
akti nada aktande 	если деньги нужны 
kumen dala amnoleʔje a dashka ej mileʔi	сколько дней они просидят  а больше не получат
tan turagen ugande shishege amnozitte	у тебя в доме очень холодно сидеть 
nada pesh nendeste	надо печь затопить
di tibi ne	этот мужчина эта женщина
a man mambiam dok ej ne	а я говорю нет не женщина
di koʔbdo	это девочка
a di tibi shindinede ej mandlia	этот мужчина ни с кем не говорит
a shindi diʔne dak di toʔnarlej	если ему кто-то  он как ударит
tak saʔmeluʔlej dune di ugande kurojek kuza	вот так на землю упадёт это очень сердитый человек
din boste net ige i nit ige eshshi	у него самого женщина есть и сын есть ребёнок
miʔ turane shobiʔi sumna tibi	пять человек пришли к нам в деревню
dizeng uz paziloʔi uze	они уже пожилые
turaʔi jaʔsitte	дома строить 
i digette milleʔbeʔje	и потом стали ходить
i nezeng mandlaʔbeʔje shtobi dizengzi kunolzitte i kamrozitte i konarzitte	и на женщин смотреть чтобы с ними спать и обниматься и 
miʔnibeʔ turane shobiʔi shide semja	к нам в пришли две семьи
mardosaʔi	мордвины
oniʔ shobi tibi da ne a oniʔ shobi toze shidogo da beʔ essengde a oniʔ nendluʔbi	одна пришла мужчина и женщина а другая пришла тоже двое и десять детей а один 
don oniʔ semja amnolaʔpiʔi	тут жила одна семья
tibi don togonorbi a net kalla durbi da gijende kubi mashina akta mibi i shobi	муж здесь работал а жена ушла и где-то нашла машину дала деньги и пришла
kalxoz dizengde toltanoʔ shide bara shide bara un mibiʔi	колхоз им дал два мешка картошки два мешка муки дали
dizeng bar embiʔi mashinane	они погрузили всё на машину
i di nukegen bar tojirluʔpiʔi	и украли всё у этой женщины
i don isho akta ibiʔi i kalla durbiʔi nudin	и ещё здесь деньги взяли мордвины и ночью ушли
kalkosken il ugande iʔgo akta ibi oniʔ dala beʔ sejʔpu kapejka mibiʔi	в колхозе люди очень много денег получали за один день семьдесят копеек давали
i ipek iʔgo ibiʔi shide kilo oniʔ dalane	и хлеба много получали два килограмма в день
digette iʔgo olda ibiʔi	тогда много одежды покупали 
pimeʔi ibiʔi kujnegeʔi	штаны брали рубашки
nezeng ibiʔi boskende koftaʔi ibiʔi	женщины себе брали кофты брали
digette jamaʔi ibiʔi pladeʔi ibiʔi	потом сапоги брали шали
ara ibiʔi magazingende biʔpiʔi	водку покупали в магазине пили
dabrolaʔpi bar dralis	дрались
