горовэ-э нулгӣчэвун.	долго аргишили.
энӣӈэhэв ӈо̄лэлчо.	мать покойная испугалась.
м-м.	м-м.
****	****
ёкэдерэн.	кричит.
охотник бисо̄н.	охотник  был.
экӣнин тоже.	старшая сестра его тоже.
через года... анӈанӣлӣ илаллалӣ... илалдулӣ неӈне талӣ же ӈэнэдечо̄в умукин, на учаге, ӯчактӯ.	через года... через три года весной там же ехал один на учаге, на верховом олене.
****	****
мунэ хурувупкӣ ило̄, дюла̄.	нас возит везде (=туда) в чумы.
как говорят, айяв мэ̄рвэр.	как говорят, выручили самих себя.
****	****
девсо, нӣсо...	он поел и это самое...
****	****
****	****
куӈакан тадӯ hутэтын бисё.	там был их ребенок.
а энӣнми уже дяпкун анӈанӣл как ачин оча.	а мамы уже восемь лет как не стало.
ӈэ̄лэвсы-ко̄, ама-тэ, амавун эвкӣ до̄лдӣрэ.	страшно, это, дед, наш дед-то не слышит.
нянмактал а̄сир бифкӣл.	комаров не было.
«кэ, — гунэн, — бокончукэл нуӈанман.	«давай, — говорит, — догоняй его.
мэндеркаӈаха тавардӯ уӈундӯ тоже дундэгин бичо̄н.	покойный хромой там, в этом, тоже с той земли был.
«тугэ, тугэ де... тугэ, тугэ окаллу.	«так, так делайте.
гунипкӣ:	думает:
гē hуктыллэн.	второй убежал.
этэ̄м, этэ̄м боль..., этэ̄м, этэ̄м, говорю, та̄ла̄ больше аӈирэ.	«не буду, не буду больше, не буду, не буду, — говорю, — туда больше это самое».
а нэкунми василий — а абачутка̄н был... эчэ̄н-тон hэгды бирэ, двухгодовалый — hучуhича котот.	а мой младший брат василий — а медвежонок был небольшой, двухгодовалый — ткнул пальмой.
тадук гуним-тэ...	потом я сказал-то...
дылган-та амӣӈӣв.	голос-то моего отца.
тукса̄дяран, тукса̄дяран.	бежит, бежит.
ну тала эча̄вун-кэ, айча̄вун, ну и всё.	ну, там это сделали, добыли, ну и все.
«тынивэча̄вӯдӯ ӈэнэдечо̄вун.	«мы шли позавчера.
чипка̄рви биhэ.	птицы есть.
би балдычав тутончанаду	я родился в тутончанах.
уже нуӈаннун индеӈкӣвун.	уже с ним  мы жили.
только дирика̄н эмонмучо.	только сопка осталась.
экнӣлвэ таду бидерэ, лена, тоня.	мои старшие сестры там живут, лена, тоня.
дяпкалӣ гиркум.	по берегу я ходил.
хурурэ тāлӣ — дю̅лӣвун ӈэнэрэ.	поехали туда — через наш чум проехали.
потом уже та̄ла̄ hанӈӯкталим.	потом уже там я спрашивать начал.
«hэлэ исефкэ̄кэл миндӯ, идӯ тариӈилин.	«покажи-ка мне, где эти его .
э̅ этырко̄р эхӣ тарилва дёна.	да, старики сейчас тех вспомнили.
би бултадем чипкандули.	я охочусь на соболя
дэгивуфко̄ндеӈо̄в hамий тар дюи дагала̄н.	заставлю их принести меня по воздуху прямо рядом с моим чумом.
эр-до-тэ муданиӈӣв, hэгэним hувулвон.	вот и конец, я рассказал все.
гучовдадо̄и никочо̄в: эмо̄кэл.	хотела сказать: "оставь "
потом ичэсиним амаскӣи:	потом посмотрел назад:
дәгрә самолетту.	на самолете прилетели.
би-дэ̄ эчэ̄в попаллэ.	и я не попал.
«эло̄ миттуло̄ бэе эмэсо̄н, hа̄рги».	«сюда к нам человек пришел, харги».
куӈакан туксаhисе̄ мо̄лоро, оёко̄курвотын, угидо̄лдулӣтын туксаhиндяна.	ребенок побежал, убегая выше вершин .
би гуним:	подумала:
а сейчас я пенсиядӯ бидем.	а сейчас я на пенсии.
****	****
тадук нуӈан уйдэн нуӈарватын.	потом он привязал их.
олдоко̄рво эhико̄н но̄дадем та̄ла̄».	рыбок сейчас брошу туда».
институтылва манаса̄тын.	институты они закончили.
чайникилвэ hуюпчо.	чайники {у нее было несколько, чтобы было больше кипятка} вскипятила.
а гил-кэ уже hэгдыко̄р очал.	а  другие-то уже большие стали.
аямамат бидерэ миттук hэлэкэт"», —	очень хорошо живут, лучше нас с вами"», —
инӣчэдерил бидерэ, инӣчэденэл бидерэ.	запряженными оставались еще.
****	****
да	да
улдилэн о̄даф.	я стала мастерицей шить.
эдӯ экун-ка асин бисо̄н гулэл, гулэл эвкӣ, дюкар тадӯ, эдук, эрбандук нискӣ.	здесь ничего не было, домов, домишки были немножко отсюда внизу.
айисифка̄ буслэвэ оронмо, татарвэн айисифка̄.	лечить надо больного оленя, чесотку лечить надо.
потом умно̄ еще улгучо̄ндерэн.	потом однажды еще рассказывает.
потом ичэтчэрэн: пещера.	потом видит: пещера.
«hэлэ тар-ваhин бидеӈно̄гин.	«пусть он живет!
давай hикилдэн нуӈарватын мӯко̄нди.	стал мыть их  водичкой.
сильно тēтēдӯ, эдӯ-дэ̄ hавалдями-кэ ачин hава.	сильно ни в тетее, ни где-то  работать-то не было работы.
раненыеӈилви ахакталиӈкӣн.	раненых своих добивает .
пенсионерил, старикив минӈӣ пенсионер бичо̄н.	пенсионеры, мой старик пенсионером был.
би гундем нэкундӯви:	я говорю своему младшему брату:
****	****
энинми гаран-да̄, ама̄ка̄ткӣē hурурэн.	мать взял и пошел к дедушке.
«о̄, ёпун-кэмэ hо̄!»	«о, очень жидкий!»
орор.	олени
ганалчил hо̄ӈэтын гусё:	начальник стрелков сказал:
тадук тастявун нямади эӈнэко̄нмэ, hуюко̄риктэлвэ.	оттуда гнали сто телят, одних самцов.
та̄дук, хиңилгэн буруракин, хуңта орокин, элун, капкасилиңнарав.	потом, когда снег выпадет, когда глубокий будет снег, бездорожье, мы начинаем капканами охотиться (=капканить).
****	****
ну тариӈитын потом опять увӣриврэн.	ну она потом опять поднялась в воздух.
гӯнно, гучо: һāрӣ бэе ӈэнэдерэн.	подумал: знающий человек едет.
****	****
видно, амундярка.	видимо, он испражняется.
илитчэчо̄н.	стоял.
чипка̄ка̄нмэ иседе, "чипка̄н!" гунэктын, амаскӣи тукса̄ндендэ.	видя утку, если говорили: "утка!", ты назад убежишь.
— амэ̅, ēкука̄н ӈа̄лэн харбалдэдирэн тадӯ?	—папа, кого огромного рука ???растопырена там?
уже бумӯдерэ нуӈартын.	уже умирают они.
маӈӣл hуктыдерэ, hира̄ндерэ июньдӯ.	медведи бегут, спариваются в июне.
но hутэлви так-то, дай бог, индерэ упкат.	но дети мои так-то, дай бог, все живут.
туӈ никэсэ-дэ̄, hурусё.	сделав так, он ушел.
гугарэлэ до̄лдым.	гугары услышала.
****	****
эфкӣл онёрэ аhаткар тавэр.	не вышивают эти девушки.
****	****
ну я еще и за лето рассказала	ну я еще и за лето рассказала
эвӣлэн.	стал играть.
потом гēла̄ дюла̄ хуруден.	потом в другой чум поедет.
но так, конечно, мо̄ӈӣв аӈив, чолӣв илэды как, он омӈоденни?	но так, конечно, свой эвенкийский язык как забудешь?
тук кэденэ, абдундула̄ тургам.	так  наткнулся на берлогу.
бу — би до̄лдӣм.	мы — я услышала.
бираду.	на реке
бэевэ hэрэкэт овкӣ.	мужчину отдельно делал.
может, уло̄ккидям как-нибудь».	может, обману как-нибудь».
опять хутэсил.	опять с детьми.
«hэлэ исевко̄ндеӈо̄в, эр hэргӯдӯ дундэдӯ биконэм, эмэм, гуннэ.	«вот покажу, сказав, что пришел, побывав на нижней земле.
тарит тавэр бэе бувкӣ одан тар hа̄рги тумнинадин.	вот люди и стали умирать из-за плевка черта.
гиркуна.	пешком.
би пэктырэ̄нэм.	я выстрелил.
некоторый хагдикар оленеводил тар дявӯседерэ оронмэ.	некоторые старые оленеводы, те держат оленя.
а только hагданми, о̄са̄н рыбаком.	только состарившись, он стал рыбаком.
хуркокочо̄нмэ элэ элэ̄лӣ оча прямо бэдни.	вот как мальчик как раз прямо стала, бедная.
тавуңнэрэвун, потом утром  ня̅н һаңкэлдулдулэ̅ намңнэрэвун, ня̅н hуруңнэрэвун.	ставим палатку, потом утром утром опять на санки, на санки кладем, опять едем
****	****
эр уӈун мина амӣним бичо̄н.	это, отец мой был.
умуко̄нмэ бултарэв.	одного добыли.
эмэдеӈнэрэв, эмэдеӈнэрэв.	подходим, подходим.
элдӯ-ка, ну как сказать-то, эти, коммерсанты, комме..., коммесар... коммерсашэлдӯ униэӈнэрэв шобдёрвэ, улукилвэ.	этим, ну как сказать-то, эти, коммерсанты, коммерсантам продаем соболей, белок.
хутэлви эр гулэтын эрэ аят.	у моих детей дом, это самое, хорошо.
дептилэлэ к..., дептилэлвэ ирук... ируктэдаңкӣтин орордӯ турудук кислокандула̄ биралӣ туңускалӣ.	продукты возили на оленях из туры в кислокан по реке тунгуске.
олдонвэн — продуктэлэ эмэвупкӣл, олдонвэн һурувупкӣл	рыбу — продукты привозят, рыбу увозят
гедӯ кэргэндӯ hунңту оронңӣтын hамилкин.	в другой семье другая отметка у оленей.
hуксиллалди гиркудяча̄вун.	мы ходили на камусных лыжах.
ну и...	ну и...
опять амӣм, опять минэ хурупден.	опять отец меня везет.
курē утэ̄лэптыдук ючал давно тар .	давно вышли из огорода.
глушнев михаил павлович бишё̄н, хэгди доктур.	глушнев михаил павлович был, большой доктор.
гē hуна̄диф, рената, индерэн норильскадӯ.	моя вторая дочь рената живет в норильске.
долса̄тчэрэн тэгэтчэрэн.	слушает сидит.
амӣм энӣнмэв hагды hагдытмэр бисо̄н.	отец матери старше был.
а би эмэрэптэ хуннун нюмотчилдэв эхӣлэ.	а я, мы с вами приехали, и я с вами стали соседями, вот.
алик мунэ тāлӣ мумӈэт ӈэнэпчāн вот.	алик нас туда напрямик проводил  вот.
угучакилди раньше ӈулгӣӈкӣвун.	на верховых оленях мы раньше кочевали.
дэгивускэлду дюктэ!» — гусё.	отнесите меня по воздуху вдвоем!» — сказал.
дылвэр алтындеӈатын.	голову отвернут.
«кӣк, кӣк!»	«кык, кык!» {команда, отзывающая собак}
тар дюкчалдула̄ эмэрэн, дэрӯконэм.	устав, он пришел к тем чумам.
сколько вертолет исысса дэгипкӣ эхӣ.	сколько вертолет летит сейчас?
да.	да.
hэргӣскӣ-кӯн бурусо эрдэло̄н.	совсем упал вниз.
ēhав эрупчут ичэпкӣ бичо̄н».	глаз у меня плохо видел».
ва̄рэв то̄лӣ кэтэмэмэвэ уллэлвэ, оллолво.	добыли тогда много мяса, рыбы.
са... садиктула̄ эӈкӣф гиркура.	в садик не ходил.
бултадяндэ дэңкэявэл капкандӯ тагадян.	добудешь соболей(кисл) в капкан попадет.
учичилдә әду hәгды.	учиться стали здесь, большие.
«о, долболтоно эмэдем.	«о, вечером приеду».
****	****
а варак нуӈанман hаӈӯкчадяран.	а враг его спрашивает:
бу амарка̄ндӯн эмэрэв, нулгӣрэв.	мы после него пришли, прикочевали.
****	****
****	****
би, куңакан, бэлэдеңкӣф луху.	я, ребенок, помогал всегда. 
таду индэӈким....	там я жил.
ну монмэ тэтывулдан нуӈан.	ну сам зарабывать он стал.
hалгардии туги эрденэ, олдолво дяваксидерэн.	вот так разгребая воду лапами, ловит рыб.
чинмо̄нэн и hуктыллэн.	отпрыгнул и убежал.
ӈэнэдерэн, ӈэнэдерэн, ӈэнэдерэн — эдеӈо̄ бака... боконо.	идет, идет, идет — не может догнать.
ама̄ка̄ тар этот...	дедушка этот...
бу дагама̄тчо̄в.	мы приближались.
улумӣдесётын.	они белковали.
весь палец вот такой толщиной: жир, сало.	весь палец вот такой толщиной: жир, сало.
да	да
тадӯ дюн бисё тар киӈгитӈӣ.	там дом был этого кингита.
****	****
анан таргасин мӯ идӯ-вэл бисё.	специально такая вода где-то была
может иргидерэ, может.	может, вырастят, может.
hаңуктачав:	я спрашивала:
тадук уже, hагды о̄ми, эло̄ эмэрэн, эдӯ hавалча̄н.	потом уже, старой став, она сюда приехала, здесь работала.
би-кэ тырганӣвэ бултадеӈнэм, гиркудяӈнэм.	я же целые дни охочусь, хожу.
монин опять это, бокончулдэн тар бэева, экун бэе ӈэнэчо.	сам опять стал догонять того человека, который шел.
hэлэ, амининhинче тар аӈи бисё.	отец, наверное, это был.
опять дундэ гороло̄ дэгилипкӣ.	опять земля далеко летит.
потом тāду, стāдолāтын нулгичōвун, нуӈардулāтин.	потом туда, в стадо аргишили, к ним.
гунивкӣ бисё тар бэе:	человек говорит:
акинмэф тар эсо нӣдо̄, нӣдо̄ гада.	старшего брата моего никто не взял.
энинтын укубдегин нуӈарватын.	пусть мать их кормит.
дэгивувко̄ндесё бисё, ойитын укканэм.	заставлял нести по воздуху, сидя верхом.
потом красная речка, тадӯ индеӈкӣвун.	потом красная речка, там мы жили.
тар гулчо:	подумала:
гунэм.	сказала.
и аӈилча, гадасилча.	и это начал, стал гадать.
вот нуӈан уло̄ккида̄и некэдерэн нуӈанман.	вот он хочет обмануть его.
нӣ-вэл ӈэнэчо hалгарди hэгдыӈэко̄курди.	кто-то прошел большими ногами.
экэл нӣдӯ-дэ̄ hэhэнэ гусёв-лувар ».	я же сказал тебе, чтобы ты никому не рассказывал».
иргӣсилда.	вырастили.
как эрко̄н дюганӣ чука балдыран, уже все нулгӣхинэв.	как маленько летом трава вырастет, уже все, мы начали кочеввать.
туг никэсё-дэ̄, hэвэкӣнун гиркӣладевкӣ бисё.	, дружила с богом.
бэлэдеңкӣтын нуңандӯн, орорвэн таhиктэденэ, монин-та таhиктэдеңкӣн.	помогали ему, оленей его гоняя, и он сам тоже гнал.
тадӯ тар умуко̄н дюкчала̄ исё-до̄ тар бэе.	потом этот человек зашел в один чум.
лукӣлви, лукӣлви бира дяпкадӯн тугартын иливса-да̄.	свои стрелы, свои стрелы вдоль них на берегу реки воткнул.
«эр нян ēкун куӈаканин тэгэтчэрэн?» —	«это еще что за ребенок сидит?» —
туг-дэ кэтэ hутэл-дӯ манавра, hуте.... hутэлин энинңэhэйӣ манавра".	так многие дети мои кончились", — дети моей покойной матери кончились.
овсянкилвэ дявуңкивун, дё э̄кун.	овсянку ели, желчь какая.
так-тэ элэ.	так-то вот.
ну, онёков горомомо бичо̄н, балӣ.	ну, бабушка очень долго прожила, слепая.
hилатна, девувкӣ тар улдэе, эмэврэкин.	когда тот приносил мясо, он ел его, жаря на вертеле.
би хуюкӯн бисо̄ф.	я маленькая была.
гунэн:	сказал:
этырко̄н бусләлдән.	муж заболел.
туг-до-тэ хо̄ хэбдяло̄н биңкӣн.	так очень весело было.
****	****
тадук тар тарэ таду-да эмкэев о̄са̄тын hэ̄кидук.	там же люльку мне сделали из большой лиственницы.
тулосиңкӣв капкара.	ставил капканы.
бу-вэхин аят, амия, акин-да аят олдово булта̄ңкӣн.	мы хорошо, отец, брат хорошо рыбу добывали.
пятый экспедиция московской 	пятая экспедиция московской 
hэлэ эрэ президент hуӈту о̄дакин-тэ, путин о̄салан, hэлэ инмун аятмэр о̄са̄н.	вот этот, когда президент другой стал, путин стал, жизнь наша лучше стала.
«кӣк, кӣк!»	«кык, кык!» {команда, отзывающая собак}
вот так и потом...	вот так и потом...
тогда ама̄ка̄в урэлдӯ мо̄тымӣдяӈкӣн-дэ.	тогда дедушка охотился в лесу на лося.
потом аямамат ичэчэллэв-да̄, нуӈан мунтыкӣ ичэтчэнэ.	потом мы стали хорошенько смотреть, а он смотрит на нас.
раньше аминми э̄кун бишё̄н.	раньше мой отец этим самым был.
дяпкунма классыл этэм.	восемь классов закончила.
буранди, гиркуна, киглолди, онтыкин-тэ.	на буране, пешком, на голицах, всяко-разно
тадук это hэвэкӣ еще раз иктэрэн-дэ̄.	потом бог еще раз ударил.
исча-да̄, тар дюкчала̄ hэгдылдуло̄тын исча-да̄, мо̄лдӯтын тэгэсё уркодӯтын.	дойдя до этого большого чума, он сел на дрова у их двери.
элэ̄лӣ стадовэ гнали тухардэдук.	как раз стадо гнали из тухарда.
«ēкун о̄дан?»	«что случилось?»
амариндула̄вэр эмэрэв.	прикочевали на прежнюю стоянку.
амив= аким бишё̄н иван николаевич, николай егорович амин, эни.	старший брат был иван николаевич, николай егорович отец, мать.
орорди хурулдиңкӣф дялнунми, кэргэннунми дӣскӣ орортики.	на оленях (=оленями) уезжал вместе с родственниками, с семьей в тайгу (=вверх по склону) к оленям.
ӈинакиртын аӣвукка̄кӯр hукуло̄девкӣл.	собаки у них лежат очень сытые.
ну, он би оhотича̄в.	ну, как я охотился.
«hа̄рги эмэктэсён, эдӯ бэеӈилбас тумнирэн-да̄, hурурэн — дэрэлдӯтын».	«черт приходил, оплевал твоих людей и ушел — на лица им ».
горово̄ инчо̄н.	долго жила.
****	****
тымāлтāнэ бӯ этыркэ̅нвун дежуридергӯ, һутэлтын адяпкӣл.	с утра мы с мужем дежурим, наверное, дети наши спят.
эӈнэкэл нуӈанман эрэ, эhактара.	не делай это, не трогай его!
****	****
инвалид о̄дам, эр орордӯ э̄дэнэ, хавалдяна, монми угробичэ̄в тугэ.	инвалидом стал, при этих оленях это самое делая, работая, самого себя угробил вот так.
****	****
амӣ минэ тэрӯттан гулэлдуло̄.	отец позвал меня в поселок .
кларадӯ ачин оча̄н нуӈан.	при кларе ее не стало.
амбардӯ бисо̄вун.	на рыботочке амбар мы были.
«эр би hэргӯдук дундэдук эмэм, —	«это я пришел с нижней земли, —
лучамнӣл гиркудяра.	русские женщины ходят.
э̄, ӈинакир тадук арчамкадявкӣ.	эх, собаки потом выходят навстречу.
тадӯ hойдӯ тэгэвко̄сё, дюн исеврӣдӯн.	там на тундре он их посадил, где был виден его чум.
ачир орор тарэ.	нет тех оленей.
****	****
«мӯрэтко̄кун, — гусол, — ёпу, hо̄ ёпу».	«совсем как вода, — сказали, — жидкий, очень жидкий».
оhала моңнӣдеден.	камысы выделывала.
«тэгэмӣе гэнно̄дям уллэвэ».	«завтра заберу мясо».
иртыкӣ-до̄ дэгивдерӣвон тар бэе эвкӣ эйдарэ.	куда его несет  тот мужчина не понимал.
тадук нуӈан hурурэн.	потом он ушел.
эӈнэм нуӈарватын исэрэ туӈа аӈанӣвэ, дян аӈанӣвэ.	я не вижу их пять лет, десять лет.
һаруккар һуктывугинэ тарья̅каклā орорвэтын таӈаһӣчал бичōл.	немного подвыпившие уехали далеко, оленей считать поехали.
бокончучэлдэн нуӈанман.	начал догонять его.
тадук гэ̄ф омолгӣф, сашав тугэ балдисан февралэндӯ.	потом второй сын, саша, зимой родился, в феврале.
а когда амӣӈаhав эмэӈкӣн,	а когда отец покойный приезжал,
би-кэ илмакта бичо̄в.	я-то был молодой.
амтыл амтыл амтылгали.	с родителями.
«эва ӈэливсипчу?» — гусён.	«что страшного?» — сказал.
иллан лапэлди.	встал на лапы.
гундерэн:	говорит:
ӯчакки эрэ аӈим, ӯчакки пустым, ӯчакки.	это самое, своего ездового оленя, отпустила ездового своего.
имурэ̄н э̄ян бичо̄н это.	жир такой был это.
путэвуртин ңо̄пчу.	мази их (оленей) вонючие.
аӈадяка̄рва дяякал, и это, эӈэhӣес бӯдем.	спрячь сирот, и это, дам тебе силы.
куранэк иhэриктэ.	одни только камни.
«нет, далеко, — говорит, — опять, гороло̄ экэл ӈэнэрэ тогда.	«нет, далеко, — говорит, — опять, далеко не ходи тогда.
в сороковом году, в сороковом году родилась.	в сороковом году, в сороковом году родилась.
би гунэм.	я сказала:
тадук мусюм.	потом вернулся.
«ēкунмэ гогодепкӣл туг?»	«кого так лают?»
уло̄кис hо̄! — гусё. —	ты очень сильно меня обманула ! — сказал. —
да эхӣ эр тундрэло̄ бихим прямо как раз бихэм би тоже.	да, сейчас, это самое, в тундру я, прямо как раз, я сейчас тоже.
ӈэнэрэн, ӈэнэрэн.	шел, шел.
би уже кали одам.	я уже большая стала.
огон.	сделано???
хавалим тоже.	я тоже работала.
уӈтувунми гаса.	взял бубен.
дяндук нюӈун анӈанӣси бисо миндӯ.	шестнадцать лет мне было.
"вот проводник!" — гундерэ. — 	"вот проводник!" — говорят. — 
ровдужные рукавицы.	ровдужные рукавицы.
умно улукӣ тагапса̄ биса̄н.	раз белка попавшаяся была.
ӈо̄лэфко̄ндем-дэ̄ — hэгдыл тариӈилин.	испугаю — а они большие.
бэйӈо̄ ирэксэвон, тар киӈгит эмэмнэвон... инӈактаван усса-да̄, дыласа̄ткӣ олгӣса нэпталэ.	шкуру дикого оленя, принесенную кингитом... он подстриг шерсть и высушил на солнце, гладко.
****	****
и гошаядӯ ӈинакирви ачир тадӯ.	и у гоши моих собак там нет.
уставатын манаса, лукӣлватын дявана, гарпавкӣ мортыкӣтын.	всех прикончил, хватая их стрелы и стреляя в них самих.
ситадук бэелба овкӣ-да̄, тадук мӯвэ гэннэ̄вкӣ идук-пэл-да̄.	он сделал людей из глины, потом пошел набрать откуда-то воду.
мучум.	я вернулся.
то̄лӣ hутэлви hуюкукор, экунди-да эдеӈо̄ бисён улӣврэ.	тогда дети мои маленькие, не было возможности их хоть чем-нибудь накормить (=им хоть чем, чем-нибудь накормиться).
тар-кэ ӈинакирви гогодерэ.	вот собаки мои лают.
эдыдукки hукитэе обратно гаран.	у мужа обратно взяла свой живот.
тар hэлэ исевко̄силчо тар уганалби:	вот он стал показывать то, что принес:
о̄hалба ӣсел аhал.	женщины выделали камусы.
валектӯ тар уриндяпкӣл бичол.	в вальке останавливались на один день.
ну нуӈан ичэрэн нуӈарватын.	ну он увидел их.
вот так вот.	вот так вот
хорошо, аӈты ēкун-ка тадӯ.	хорошо, этот самый там.
умно̄ нулгӣсчо̄вун.	однажды мы аргишили.
немулэмнин ӣвкӣл эргэсин».	так они мягко выделывают».
со̄ аят индичэтын.	очень хорошо жили.
туксама биңкӣф би куңакандӯйӣ.	я быстро бегала (=хорошей бегуньей была) в детстве.
тариӈин улӣсо.	та покормила.
«радистка бӣгин.	«радисткой пусть станет.
аӈилин, hēраӈилин толгокӣдӯ бидерэ.	это, жерди {для чума} на санках.
ӈэ̄лэлим.	я испугалась.
сипкамина̄дэ кислокандӯ гунивкӣл деңкэмина̄ди.	охотиться на соболя (соболить), в кислокане говорят: охотиться на соболя (соболить) {**}.
онэдидяңа̄с тариңилви ни-ка, алӣтин, оңколӣтин.	ищешь их по краям их копанины(пастбища).
****	****
ну и ӣду-тону.	ну и туда-сюда.
нуӈан hуктыллэн.	он убежал.
ну а миткит, навэрное, биркэ hэгды самолёт или нло.	ну а по-нашему, наверное, большой самолет или нло.
«воспитывать» — омӈом онэ.	«воспитывать» — забыла как .
с юга.	с юга.
«ēкунма одяндэ?»	«что ты делаешь?»
ēкун нуӈанман эӈэhӣн?»	кто его сильнее?»
мо̄нин ча̄скӣ ӈэнэрэн-дэ̄.	сама дальше пошла.
****	****
бэйӈо̄е эмэвувкӣ.	дикого оленя приносит.
hутәлви hәгдыhарә.	дети выросли.
«эр аhатканмэ эвунавэр гадяс, эва никодо̄н?»	«для чего вы возьмете эту девочку, что вы собираетесь делать?»
— ну, — гунэм, — гошаядӯ биденорэ, наверное.	— ну, — подумал, — у гоши, наверное, находятся.
****	****
орорвун, уч... нямасал акчудяпкӣл.	наши олени, важенки рвались.
мо̄нин эрэ екэӈдэва̄ндук.	сама она из экондинцев.
гусё. —	сказал. —
маӈӣ о̄ран.	медведицей стала.
потом hиhэвэ hэгдыко̄кӯнмэ эмэврэн.	потом принес огромный камень.
****	****
бусён дыгин кластӯ учитӈаhӣдӯв.	умерла, когда я учился в четвертом классе.
****	****
****	****
«эпко̄ зря абачӣва так делать».	«нельзя зря медведя так делать».
ачин эдӯ оран.	здесь  не стало.
ēкун-ка, хорошо, hуручо̄тын.	это, хорошо, они пошли.
ху= хутов бидерǝн та̄дӯ.	ребенок есть там.
минӈӣ эр эхатпи эдеӈо бихим хурурэ.	с моим этим, глазом не смогу поехать.
эдӯ hавалилча̄в.	здесь стал работать.
орорвэ тыниңнэрэвун, весной, в начале июня, чтоб кормились до комаров маленько, набрали  .	оленей отпускаем, весной, в начале июня, чтоб кормились до комаров маленько, набрали.
ой-ой-ой, hарпука̄н.	ой-ой-ой, шутник.
дёниӈнэм: элэтын: бэел, аhал — умунуктэ мунӈӣ дюмадӯвун.	вспоминаю: все: мужчины, женщины — собрались в нашем чуме.
hэгдыӈэми-кэнче бичо̄н, hаг... hагдымика̄н бичо.	он был вроде большим, большим был.
hэвэкӣ гундерэн:	бог говорит:
ну тадук аранканмɔ умишканчэӈнэрэв.	ну потом понемногу выпиваем.
****	****
"оhалвэ монңидакал!" — гуннэ.	"камысы выделывай!" – говорила
ой, ēкун hэгды бичо̄н.	ой, какой большой был.
«ну hо̄ эӈэhӣчиhинчэ нуӈан, ага».	«он очень сильный».
ну, пэктырэ̄лим.	ну, я выстрелил.
****	****
бэлэдеңкӣвун.	мы помогали.
ӈэнэчо... нулгӣдечо̄вун гороло̄, полмесяца, месяц дулинман бēган, ой, месяц.	аргишили далеко, полмесяца, полмесяца.
hуна̄див эдӯ рентгендӯ hавалдерэн.	дочь здесь на рентгене работает.
са̄тырава ӣвсёво гаса.	выделанного песца взял.
****	****
тар эдо... тодёдо̄hун hэргӯдӯ дундэдӯ бисё, — гуннэ, — эрэ эмэвум hэлэ эр о̄hалба, ирэксевэ, са̄тырэвэ эрэ.	чтобы вы поверили, что я был на нижней земле, — говорит, — вот я принес эти камусы, шкуру, песца.
бригадир о̄нэ, хавалдяшя̄в, хавалдяшя̄в.	я работал, став бригадиром.
дюктэ бидерэ.	вдвоем они находятся
то̄ли хулукокон бишо̄в.	тогда я маленький был.
тарит орон кэтэ иргифшё̄н амаскӣ.	поэтому оленей много воспитывали раньше.
боконон.	догнал.
мунэ эпкӣл гада.	нас не берут.
би аӈим, ӈо̄лэлим.	я это, испугалась.
hаялэ идӯдо̄ тукдо̄.	нету нигде так-то.
тадук-та̄ туг-до̄ тадӯ бусо.	потом так-то он там умер.
минӈӣ орорви биӈкӣтын.	у меня (=мои) олени были.
вот тарит надо hэвэкӣвэ всегда помнить.	вот поэтому надо всегда помнить бога.
гундем:	говорю:
эhикокон-до индэрэн акӣм, сашка гэрбӣсӣ, агӣсӣ, нӣсӣ, hутэсӣ.	и сейчас живет (там) мой старший брат по имени сашка, с женой, с этим, с ребенком.
нуӈан гунэн.	он сказал.
экумайэ-да булта̄йи булта̄деңа̄т, оронди хурумӣ.	хоть какую добычу, оленями пойдя, добудем.
элэватын отнесли.	все отнесли.
бурэн-да̄, тар-да̄ манаврэн, ило̄-кэ одян?	так он умер, кончился, куда же он денется?
участок, ну на двоих, ну, дюкчан... дюкчадӯ.	участок, ну, на двоих, двоим.
идӯ нуӈан уринэрэн.	«где он остановился?»
бултарэв тариӈӈар.	добыли его.
****	****
совhозтӯ hавалчав дыгин аӈанӣвэ.	всовхозе работал четыре года.
тāдӯ арчарэвун.	там встретили .
эпкӣ бичэн до̄лдӣрэ.	не слышала.
диктэлвэ уӈкулидеча тариӈмэр.	он ягоду в рот клал.
ӈинакин...	собака ...
кутуйэ асиндӯ эфкӣл балдырэ.	у несчастливого не растут.
дюла̄и hурурэн.	пошел к себе домой.
hуктыммэт век нулгӣрэв.	ехали все время бегом.
тар дундэӈдулӣи hурурэн, hурурэн.	шел, шел по своей земле.
тар hутэлин hаӈӯктавкӣл бисол.	дети стали его спрашивать:
каӈкит мирэним.	быстро вышла замуж.
потом таргит аликйэ эмэчōтын ды̅гит орорди.	потом оттуда алик и его семья приехали из леса на оленях.
ӈинакинма гулчо:	спросил у собаки:
hимула̄вкӣ.	молчит.
«hэлэ этэм», — гуннэ-кэ, эмэнмусо дюкчадӯ умукин.	«нет, не стану», — сказала собака и осталась одна дома.
минэ тавэркэ, эркэ, утом.	меня узнала ли, нет ли 
потапкит бэе нулгӣчо бичō балокитпӣ.	от потапова человек аргишил в балке.
эниңэhэ гундесэ̄н:	мать покойная говорила:
а сюда.	а сюда...
хорошая бабка была.	хорошая бабка была.
тар минӈӣ энтылви, тарэ минэ иргӣдесол, аят иргӣрэ минэ.	мои приемные  родители хорошо вырастили меня.
тāду бичōвун.	там были.
