gorowe-e nulgichewun	долго аргишили
uchichildә әdu hәgdy	учиться стали здесь большие
o dolboltono emedem	о вечером приеду
a warak nunganman hangukchadaran	а враг его спрашивает
bu amarkandun emerew nulgirew	мы после него пришли прикочевали
bi kungakan beledengkif luhu	я ребенок помогал всегда
tadu indengkim   	там я жил
nu monme tetywuldan nungan	ну сам зарабывать он стал
halgardii tugi erdene oldolwo dawaksideren	вот так разгребая воду лапами ловит рыб
chinmonen i huktyllen	отпрыгнул и убежал
ngenederen ngenederen ngenederen edengo baka   bokono	идет идет идет не может догнать
amaka tar etot  	дедушка этот  
bu dagamatchow	мы приближались
ulumidesotyn	они белковали
wes palets wot takoj tolschinoj zhir salo	весь палец вот такой толщиной жир сало
tadu dun biso tar kinggitngi	там дом был этого кингита
anan targasin mu idu-wel biso	специально такая вода где-то была
mozhet irgidere mozhet	может вырастят может
hanguktachaw	я спрашивала
taduk uzhe hagdy omi elo emeren edu hawalchan	потом уже старой став она сюда приехала здесь работала
bi-ke tyrganiwe bultadengnem girkudangnem	я же целые дни охочусь хожу
monin opat eto bokonchulden tar bejewa ekun beje ngenecho	сам опять стал догонять того человека который шел
hele amininhinche tar angi biso	отец наверное это был
opat dunde gorolo degilipki	опять земля далеко летит
potom tadu stadolatyn nulgichowun nungardulatin	потом туда в стадо аргишили к ним
guniwki biso tar beje	человек говорит
akinmef tar eso nido nido gada	старшего брата моего никто не взял
enintyn ukubdegin nungarwatyn	пусть мать их кормит
degiwuwkondeso biso ojityn ukkanem	заставлял нести по воздуху сидя верхом
potom krasnaja rechka tadu indengkiwun	потом красная речка там мы жили
tar gulcho	подумала
gunem	сказала
i angilcha gadasilcha	и это начал стал гадать
wot nungan ulokkidai nekederen nunganman	вот он хочет обмануть его
ni-wel ngenecho halgardi hegdyngekokurdi	кто-то прошел большими ногами
ekel nidu-de hehene gusow-luwar 	я же сказал тебе чтобы ты никому не рассказывал
irgisilda	вырастили
kak erkon dugani chuka baldyran uzhe wse nulgihinew	как маленько летом трава вырастет уже все мы начали кочеввать
tug nikeso-de hewekinun girkiladewki biso	 дружила с богом
beledengkityn nungandun ororwen tahiktedene monin-ta tahiktedengkin	помогали ему оленей его гоняя и он сам тоже гнал
tadu tar umukon dukchala iso-do tar beje	потом этот человек зашел в один чум
lukilwi lukilwi bira dapkadun tugartyn iliwsa-da	свои стрелы свои стрелы вдоль них на берегу реки воткнул
er nan ekun kungakanin tegetcheren	это еще что за ребенок сидит
tug-de kete hutel-du manawra hute    hutelin eninngeheji manawra	так многие дети мои кончились дети моей покойной матери кончились
owsankilwe dawungkiwun do ekun	овсянку ели желчь какая
tak-te ele	так-то вот
nu onokow goromomo bichon bali	ну бабушка очень долго прожила слепая
hilatna dewuwki tar uldeje emewrekin	когда тот приносил мясо он ел его жаря на вертеле
bi hujukun bisof	я маленькая была
gunen	сказал
etyrkon buslәldәn	муж заболел
tug-do-te ho hebdalon bingkin	так очень весело было
taduk tar tare tadu-da emkejew osatyn hekiduk	там же люльку мне сделали из большой лиственницы
tulosingkiw kapkara	ставил капканы
bu-wehin ajat amija akin-da ajat oldowo bultangkin	мы хорошо отец брат хорошо рыбу добывали
patyj ekspeditsija moskowskoj	пятая экспедиция московской
hele ere prezident hungtu odakin-te putin osalan hele inmun ajatmer osan	вот этот когда президент другой стал путин стал жизнь наша лучше стала
wot tak i potom  	вот так и потом  
togda amakaw ureldu motymidangkin-de	тогда дедушка охотился в лесу на лося
potom ajamamat ichechellew-da nungan muntyki ichetchene	потом мы стали хорошенько смотреть а он смотрит на нас
ranshe aminmi ekun bishon	раньше мой отец этим самым был
dapkunma klassyl etem	восемь классов закончила
burandi girkuna kigloldi ontykin-te	на буране пешком на голицах всяко-разно
taduk eto heweki jesche raz ikteren-de	потом бог еще раз ударил
ischa-da tar dukchala hegdyldulotyn ischa-da moldutyn tegeso urkodutyn	дойдя до этого большого чума он сел на дрова у их двери
eleli stadowe gnali tuhardeduk	как раз стадо гнали из тухарда
ekun odan	что случилось
amarindulawer emerew	прикочевали на прежнюю стоянку
amiw akim bishon iwan nikolajewich nikolaj jegorowich amin eni	старший брат был иван николаевич николай егорович отец мать
orordi huruldingkif dalnunmi kergennunmi diski orortiki	на оленях уезжал вместе с родственниками с семьей в тайгу к оленям
nginakirtyn aiwukkakur hukulodewkil	собаки у них лежат очень сытые
nu on bi ohotichaw	ну как я охотился
hargi emekteson edu bejengilbas tumniren-da hururen dereldutyn	черт приходил оплевал твоих людей и ушел на лица им 
gorowo inchon	долго жила
tymaltane bu etyrke̅nwun dezhuridergu һuteltyn adapkil	с утра мы с мужем дежурим наверное дети наши спят
engnekel nunganman ere ehaktara	не делай это не трогай его
inwalid odam er orordu edene hawaldana monmi ugrobichew tuge	инвалидом стал при этих оленях это самое делая работая самого себя угробил вот так
ami mine teruttan guleldulo	отец позвал меня в поселок 
klaradu achin ochan nungan	при кларе ее не стало
ambardu bisowun	на рыботочке амбар мы были
er bi herguduk dundeduk emem	это я пришел с нижней земли
luchamnil girkudara	русские женщины ходят
e nginakir taduk archamkadawki	эх собаки потом выходят навстречу
tadu hojdu tegewkoso dun isewridun	там на тундре он их посадил где был виден его чум
achir oror tare	нет тех оленей
muretkokun gusol jopu ho jopu	совсем как вода сказали жидкий очень жидкий
ohala mongnideden	камысы выделывала
tegemije gennodam ullewe	завтра заберу мясо
irtyki-do degiwderiwon tar beje ewki ejdare	куда его несет тот мужчина не понимал
taduk nungan hururen	потом он ушел
engnem nungarwatyn isere tunga anganiwe dan anganiwe	я не вижу их пять лет десять лет
һarukkar һuktywugine tarja̅kakla ororwetyn tangaһichal bichol	немного подвыпившие уехали далеко оленей считать поехали
bokonchuchelden nunganman	начал догонять его
taduk gef omolgif sashaw tuge baldisan fewralendu	потом второй сын саша зимой родился в феврале
a kogda amingahaw emengkin	а когда отец покойный приезжал
bi-ke ilmakta bichow	я-то был молодой
amtyl amtyl amtylgali	с родителями
ewa ngeliwsipchu guson	что страшного сказал
illan lapeldi	встал на лапы
gunderen	говорит
uchakki ere angim uchakki pustym uchakki	это самое своего ездового оленя отпустила ездового своего
imuren ejan bichon eto	жир такой был это
putewurtin ngopchu	мази их вонючие
angadakarwa dajakal i eto engehijes budem	спрячь сирот и это дам тебе силы
kuranek iherikte	одни только камни
net daleko goworit opat gorolo ekel ngenere togda	нет далеко говорит опять далеко не ходи тогда
w sorokowom godu w sorokowom godu rodilas	в сороковом году в сороковом году родилась
bi gunem	я сказала
taduk musum	потом вернулся
ekunme gogodepkil tug	кого так лают
ulokis ho guso	ты очень сильно меня обманула  сказал
da ehi er tundrelo bihim pramo kak raz bihem bi tozhe	да сейчас это самое в тундру я прямо как раз я сейчас тоже
ngeneren ngeneren	шел шел
bi uzhe kali odam	я уже большая стала
ogon	сделано
hawalim tozhe	я тоже работала
ungtuwunmi gasa	взял бубен
danduk nungun annganisi biso mindu	шестнадцать лет мне было
wot prowodnik gundere	вот проводник говорят
rowduzhnyje rukawitsy	ровдужные рукавицы
umno uluki tagapsa bisan	раз белка попавшаяся была
ngolefkondem-de hegdyl taringilin	испугаю а они большие
bejngo ireksewon tar kinggit ememnewon   inngaktawan ussa-da dylasatki olgisa neptale	шкуру дикого оленя принесенную кингитом   он подстриг шерсть и высушил на солнце гладко
i goshajadu nginakirwi achir tadu	и у гоши моих собак там нет
ustawatyn manasa lukilwatyn dawana garpawki mortykityn	всех прикончил хватая их стрелы и стреляя в них самих
sitaduk bejelba owki-da taduk muwe gennewki iduk-pel-da	он сделал людей из глины потом пошел набрать откуда-то воду
muchum	я вернулся
toli hutelwi hujukukor ekundi-da edengo bison uliwre	тогда дети мои маленькие не было возможности их хоть чем-нибудь накормить 
tar-ke nginakirwi gogodere	вот собаки мои лают
edydukki hukiteje obratno garan	у мужа обратно взяла свой живот
tar hele isewkosilcho tar uganalbi	вот он стал показывать то что принес
ohalba isel ahal	женщины выделали камусы
walektu tar urindapkil bichol	в вальке останавливались на один день
nu nungan icheren nungarwatyn	ну он увидел их
wot tak wot	вот так вот
horosho angty ekun-ka tadu	хорошо этот самый там
umno nulgischowun	однажды мы аргишили
nemulemnin iwkil ergesin	так они мягко выделывают
so ajat indichetyn	очень хорошо жили
tuksama bingkif bi kungakanduji	я быстро бегала в детстве
taringin uliso	та покормила
radistka bigin	радисткой пусть станет
angilin herangilin tolgokidu bidere	это жерди на санках
ngelelim	я испугалась
sipkaminade kislokandu guniwkil dengkeminadi	охотиться на соболя  в кислокане говорят охотиться на соболя 
onedidangas taringilwi ni-ka alitin ongkolitin	ищешь их по краям их копанины
nu i idu-tonu	ну и туда-сюда
nungan huktyllen	он убежал
nu a mitkit nawernoje birke hegdy samolot ili nlo	ну а по-нашему наверное большой самолет или нло
wospitywat omngom one	воспитывать забыла как 
s juga	с юга
ekunma odande	что ты делаешь
ekun nunganman engehin	кто его сильнее
monin chaski ngeneren-de	сама дальше пошла
bejngoje emewuwki	дикого оленя приносит
hutәlwi hәgdyharә	дети выросли
er ahatkanme ewunawer gadas ewa nikodon	для чего вы возьмете эту девочку что вы собираетесь делать
nu gunem goshajadu bidenore nawernoje	ну подумал у гоши наверное находятся
ororwun uch   namasal akchudapkil	наши олени важенки рвались
monin ere jekengdewanduk	сама она из экондинцев
guso	сказал
mangi oran	медведицей стала
potom hihewe hegdykokunme emewren	потом принес огромный камень
buson dygin klastu uchitngahiduw	умерла когда я учился в четвертом классе
epko zra abachiwa tak delat	нельзя зря медведя так делать
achin edu oran	здесь не стало
ekun-ka horosho huruchotyn	это хорошо они пошли
hu hutow bideren tadu	ребенок есть там
minngi er ehatpi edengo bihim hurure	с моим этим глазом не смогу поехать
edu hawalilchaw	здесь стал работать
ororwe tyningnerewun wesnoj w nachale ijuna chtob kormilis do komarow malenko nabrali 	оленей отпускаем весной в начале июня чтоб кормились до комаров маленько набрали
oj-oj-oj harpukan	ой-ой-ой шутник
doningnem eletyn bejel ahal umunukte munngi dumaduwun	вспоминаю все мужчины женщины собрались в нашем чуме
hegdyngemi-kenche bichon hag   hagdymikan bicho	он был вроде большим большим был
heweki gunderen	бог говорит
nu taduk arankanmɔ umishkanchengnerew	ну потом понемногу выпиваем
ohalwe monngidakal gunne	камысы выделывай – говорила
oj ekun hegdy bichon	ой какой большой был
nu ho engehichihinche nungan aga	он очень сильный
nu pektyrelim	ну я выстрелил
beledengkiwun	мы помогали
ngenecho   nulgidechowun gorolo polmesatsa mesats dulinman began oj mesats	аргишили далеко полмесяца полмесяца
hunadiw edu rentgendu hawalderen	дочь здесь на рентгене работает
satyrawa iwsowo gasa	выделанного песца взял
tar edo   tododohun hergudu dundedu biso gunne ere emewum hele er ohalba ireksewe satyrewe ere	чтобы вы поверили что я был на нижней земле говорит вот я принес эти камусы шкуру песца
brigadir one hawaldashaw hawaldashaw	я работал став бригадиром
dukte bidere	вдвоем они находятся
toli hulukokon bishow	тогда я маленький был
tarit oron kete irgifshon amaski	поэтому оленей много воспитывали раньше
bokonon	догнал
mune epkil gada	нас не берут
bi angim ngolelim	я это испугалась
hajale idudo tukdo	нету нигде так-то
taduk-ta tug-do tadu buso	потом так-то он там умер
minngi ororwi bingkityn	у меня олени были
wot tarit nado hewekiwe wsegda pomnit	вот поэтому надо всегда помнить бога
gundem	говорю
ehikokon-do inderen akim sashka gerbisi agisi nisi hutesi	и сейчас живет мой старший брат по имени сашка с женой с этим с ребенком
nungan gunen	он сказал
ekumaje-da bultaji bultadengat orondi hurumi	хоть какую добычу оленями пойдя добудем
elewatyn otnesli	все отнесли
buren-da tar-da manawren ilo-ke odan	так он умер кончился куда же он денется
uchastok nu na dwoih nu dukchan   dukchadu	участок ну на двоих двоим
idu nungan urineren	где он остановился
bultarew taringngar	добыли его
sowhoztu hawalchaw dygin anganiwe	всовхозе работал четыре года
tadu archarewun	там встретили 
epki bichen doldire	не слышала
diktelwe ungkulidecha taringmer	он ягоду в рот клал
nginakin  	собака   
kutuje asindu efkil baldyre	у несчастливого не растут
dulai hururen	пошел к себе домой
huktymmet wek nulgirew	ехали все время бегом
tar dundengdulii hururen hururen	шел шел по своей земле
tar hutelin hanguktawkil bisol	дети стали его спрашивать
kangkit mirenim	быстро вышла замуж
potom targit alikje emechotyn dy̅git orordi	потом оттуда алик и его семья приехали из леса на оленях
nginakinma gulcho	спросил у собаки
himulawki	молчит
hele etem gunne-ke emenmuso dukchadu umukin	нет не стану сказала собака и осталась одна дома
mine tawerke erke utom	меня узнала ли нет ли
potapkit beje nulgicho bicho balokitpi	от потапова человек аргишил в балке
eningehe gundesen	мать покойная говорила
a suda	а сюда  
horoshaja babka byla	хорошая бабка была
tar minngi entylwi tare mine irgidesol ajat irgire mine	мои приемные родители хорошо вырастили меня
tadu bichowun	там были
tihise tunganama oron batiknen istado woti bingkin tihise tunganama	тысяча пятьсот оленей вплотную стадо было тысяча пятьсот
tar bejetkon udalityn huruso ilkendulityn	тот мальчик пошел по следам по зарубкам
ke   kete hutochil bichotin nunganngilin an   antilin aminnunin	ее родители с отцом были многодетные
nungan mine anachan i potom huktylchan	он меня толкнул и убежал
idu	где
toli istanokil bishotyn	тогда станки были
nu tuksadaraw koje-kak	ну бежим кое-как
tarit-ta taduk-te һujetchowun emehichowun amaskiwer	оттуда потом разъехались поехали обратно
erkondu ichewrit nawernoje birke	отсюда наверное видно было
hurum ichetnom	я пошел пошел посмотреть
tar mut optyhiniwki-da taringilin aruwkil bisol	этой водой брызгал и эти его оживали
toli-do boloktowon ahilam	тогда-то осень когда настала я женился
helekokundi nunganman dasnawan oran	из железа сделал крышку
kak raz bushshedechow toli	я как раз болел тогда
hawalderew chopumoshol nu shukshilre	ходим ну на лыжах
mortyn hawaldara	сами работают
dundengtykii hurulmi hurupdengow	когда пойду на свою землю унесу
etem ahura	не буду трогать
ang urkedu ujuchededera angma chipkakanme	это у двери привязывали это самое утку
her hergula dundela burum girkudana emukin bultadene	упал на нижнюю землю когда ходил один охотился
potom sadiktu hawalim	потом я работала в детском саду
oror manawulda	олени кончаться стали
a usitchan leningradtu	а училась она в ленинграде
nu a tak chego  	ну а так чего  
aminmi gasan ekunme kruzhkekonme chiktilwe	отец брал это кружечку бисер
nul    nulgichowun-te tselyj nulgiw itykirwi ngenewumdek	аргишили-то целый аргиш пока вещи свои отвозил он
nungan emeren	он подходит
dongototchene	замерзает
potom emere	потом они пришли
mirison nungan aminduf ilandar anganisi bine	она вышла замуж за моего отца будучи тридцатилетней
dewugin	пусть поест
nu amakaw bichon onokow	дедушка бабушка у меня были
kinggit iseso-de ngelewse-de	кингит увидел и испугал 
nu bingnere tadu	ну бывали там
bi tozhe bi hawalchaf eto kolhoztu hawalilim	я тоже я работала это в колхозе стала работать
tarkakundi angillaw	вот ими стали это самое 
taduk-ta potaptula girkujichawun	оттуда в потапово ездили
prawda bidere dur hunadilwi mirnyjdu bidere dur	правда живут две моих дочери живут в мирном
wot ichetchengkiw eninmi  	вот смотрела на маму  
nu	да
taduk kahilisa	потом стал рвать
okiwa gunipki tegesim esew hare	сколько говорит сидела не знаю
hokonono	жара такая
ekun-da togda achin bingkin	ничего тогда не было
toli purgalcha bison	тогда пурга началась
tar ulgusondengkityn	так рассказывали они
ekeldu nikogda ekeldu niwe-de ang-ke obizhatte	никого никогда не обижайте
bejel dewdere tadu ostoldu tegetchenel	люди едят сидя там за столом
dapkun begasi bisof bi hujukukon	восьмимесячная я была маленькая
a m-m	а м-м
nungan pektyreren	он выстрелил
ororwo isesingkin	оленей посмотрит
e tar uchakilin huktylchel tuk-kon	а те учаки его убежали вот так
ororwo gәnnohinәw	оленей отправились забирать
o engehiw achin	о у меня нет сил
e angi er gundem aja bicho bimche	это это самое говорю хорошо было бы
uram	промахнулся
chipkar do etogo girkuishatyn	волки до этого ходили
kislokandu indena dan ahisi bisof tadu e-	в кислокане живя женатый был там
eninduji beledengkif	матери помогала
amngawan angakellu chtob nungan juldon tar changit juldon abdundukki	вход откройте чтобы он вышел чтобы медведь вышел из своей берлоги
umukon orondu kinggilon biso	у одного оленя колокольчик был
dylwew potsarapal	голову мне поцарапал
targit emechol bichotyn	оттуда они приехали
ekunda asin deptyletyn asir	ничего нет еды нет
tar-ke ichewullen dylin	вот его голова показалась
bi ehikon emamija tancheldem eto nungarwatyn	я сейчас буду их нарочно тянуть
on tugi ngenewufki-te prowodnik bine	как так отвозит будучи проводником
eninngehe gunderen	мать покойная говорит
nekurwi ilen ahal edu bidere	младшие сестры три здесь живут
dolboltonomok emengnem	только к вечеру прихожу
nulgiktefkil	кочуют
hakte inektelkotchere mortyn momongil	смеются сами над собой
nginakir gogodere	собаки лают
iren umukon dukchala	вошел в один чум
uregendu kaltyrdu tadu	на обрыве там на склоне
dumaduk juso-do tepketcho	из чума вышла и покричала
nungartyn dezhuridepkil nu a tyrga my bu һawaldangnerewun ni-ge jo̅	они дежурят ну а днем мы мы работаем кто же
taduk ustawatyn-te manaran	потом всех прикончил
angi popowy byli tozhe ewengkil	эти поповы были тоже эвенки
uzhe kali osalai nungan hawalildan zwerofermadu	уже став большим он стал работать на звероферме
e nu ertyki zhe unguntyki bine birke nawernoje	да ну туда же в сторону того будучи были наверное
palakineduwer baldym	я выросла в плахине
erdelon hurupsol tar bejewe	совсем унесли того человека
ahatkan odan	он стал девочкой
samolet horosho olenej horosho a oleni luchshe	самолет хорошо оленей хорошо а олени лучше
uste bejewe haren beje	человека знает 
ogdokosokonwi karijasanmi lukcha-da amardukin tuksadane	он снял свою парку с шерстью свою замшевую парку и бежит сзади
taduk iremidechowun tali wtoroj stadodu perwyj stadodu	оттуда туда в гости ездили во второе стадо в первое стадо
ngelifsipchu-keme erupchu ewiwun-do bimi etekel etekel	очень страшно перестань перестань потому что это плохая игрушка
bejel ororwe gatte	люди оленей разобрали
umno hele beje umukon bultadesa girkudasa sipkamidesa biso	вот однажды один человек охотился ходил охотился на соболей
guso tar beje	сказал тот человек
bejel-ke nungun bisotyn bukokutte	мужчин шесть человек было поумирали
wot mom edu indem poselkadu hantajskoje ozero	сама я живу здесь в поселке хантайское озеро
tarit gorowo inen	оттого долго жила
ehi wso ni poselkal dazhe netu	сейчас все ни поселков даже нету
dongotomi edu biso bimchel	если бы замерзли были бы тут
akim uzhe har hagdy odan	брат уже взрослый стал
gde-to nawernoje demngenen tadu birke ekun-ka	где-то наверное там его объедки что-то 
etyrkem wasilij iwanowich sururen gennesten orordi sawodalwe genneren emewren	муж мой василий иванович поехал чтобы на оленях привезти вещи забрал привез
uchittangkif uchamidu	учился я в учами
chasowna	часовня
potom chaski sururew hereket hereket hoktet sururew-ke esile	потом в сторону поехали другой тропой поехали тогда
tajmurawa dagraw	через р таймуру переправились
taduk hele nungan nunganman umkanem nan gukanem taduk ganatmasilcha	потом это он его   стал стреляться
amin awipdafki eningehi aminin	отец дорогу делал  отец покойной матери
muchuderaktyn ere udadutyn ihicha-ke bicho	когда они возвращались он на дороге их догнал
i bu potapchikaduli tozhe eweski	и мы через потапчик тоже сюда
kerimkorwe pektirudengkin utele	белочек стреляла раньше
nu nungan tykulden i dawaj tuksahinen	он рассердился и давай бежать
tymatne elewon ora	утром все сделали
bi etem hindi girkitedemi	я не буду с тобой дружить
ewa	что
hulukunduf bu nulgiktedengkiwun ere ambarduli kulumbeli	когда я была маленькая мы аргишили на этом самом по рыботочке амбар вдоль речки кулюмбе 
dudinkala norilskaduk walektu	в дудинку из норильска на валек
mudu er-ke ange irgektelduk tegetchechotyn	в воде сидят от паутов
buruden kotoryj opat gory opkil	которая упадет опять горы появляются
gunne dumajcha tar beje	подумал тот человек
ororwun hutole kete bisotin	оленей у нас раньше много было
umukonme warew	одного мы убили
taduk nan ulumu    ulumingnerew ulu   ulumongnerew	потом опять уезжаем белковать
bi ungtuwune okta er irekseduk	я сделаю бубен из этой шкуры
ketewo orolorwe bungkityn orolongme	много оленеводам мы давали оленеводу
ujden ajat	хорошенько привязал
moti hukuledekokutten hojdu	лось разлеживается в кустах
amaski tepkedana tuksadam	назад я побежала крича
tar ireksengmi angdan-da oran tar ungtuwune ehi tar hektakarduk mojan okanem	сделав из тальника каркас он шкуру это самое и вот он сделал бубен
inektengkityn	смеялись они
eninmes huruwren	твою мать увел
nu prodajdangkin zdawaj zdaningkin magazinduda tar kak trudodni	ну продавала сдавала в магазин-то как трудодни
eduk oran mugdekon	откуда взялся пень
taduk amakadukpi hanguktalcha	потом стал спрашивать у дедушки
ororwo ajichimni	оленей лечащей врачом оленей
moladengkif	дрова готовила
ungtuwunmi gakanem ungtuwunmi luhu duktedene ojityn	взяв бубен в бубен все время колотя наверху
no wso rawno etem omngore	но все равно не забуду
potom turpakadu shkolnyj mys	потом на турпаке  школьный мыс
achin bichon edu mugdekon	не было пня
iremohison-do huteldeloi	поехала в гости к детям
kereminoschowun sewernaj tajmurala	поехали охотиться на реку северная таймура
wadende	ты убьешь 
goworit nungan	говорит он
tar bu emerepda bi nanchitchelim	когда мы с вами приехали я стала нянчить 
ranshe ewedyt da ewedyt	раньше   по- эвенкийски да по-эвенкийски
urinellew	остановились
wasilij	василий
hodu gorodu utole umukon beje bultadena emukin girkudana erdelon ekun-mal jamadun buruso	давным-давно один человек когда охотился когда ходил один упал совсем в какую-то яму
bultarew	мы добыли
kotoryj dunde tala emenmuren ugilo ohiktakardi odan	земля которая осталась там наверху стала звездочками
guson	сказал
wot hagdandulaji ulditchengkin	до старости шила
ewande echew erakade	ничего я не это самое 
potomu chto eche huktylle muntyki	потому что не побежал к нам
no enin   eninmun umukin mune angedechan i  	но наша мама одна нас это  
kan nungan ofkandingkin er nawehi nawehilwe	именно он велел делать навесы
dynngilegicho tepkedene nungardulatyn	побежал ревя к ним
ehi hunmiktel nawalom	сейчас мошки навалом
w upor pektyrochon	в упор он выстрелил
mikchanem uguchaktyki	спрыгнул к оленю
bi hine nodadingaw eregerit	я тебя совсем брошу
i obed ngenechelen nulgistew nulgistew wpered	и когда обед прошел начинали аргишить начинали аргишить вперед
bi ichedem ongokton bagdamacha belyj polosa bagdama	я вижу у него нос побелел белая полоса
ni nekunmite achin bisonne	ни младшего не было
amtachan nungarwatyn-ka	он почуял их
bi bangnem on brigadir bidem gunne	я отказываюсь говоря как буду бригадиром
nungan ngolepkonen nginakirwa	он испугал собак
ikoleptydi   uguchaktu tegetchene ikodene ngenedewki uguchak i doldim	я ехал сидя на на верховом олене и пел и услышал
umnekorte ekun emeren mutpe ewedyt alagudaje	редко кто пришел нас по-эвенкийски научить
eninmi paka indechon dudu edu tozhe jerbekedu eninunmi ulguchematchengkiw	мама пока жила дома здесь в ербогачене с мамой разговаривала 
chto-to ewa-wal ngaleldiwi mine monduloi  	что-то почему-то руками меня к себе  
wot ehi ehaja asin odam wot teper	вот сейчас без глаза стала теперь
nu nawernoje birke	ну наверное
gramatew asin wse rawno ulgusoningnem tugu tugu tuge ajisingnem ororwo tugu tugu ongnokorwe baldiwungnerew gundene	грамоты у меня нет все равно рассказываю говоря так так так лечу оленей их так так телят выращиваю
ekun-ka uchastok hogdynga	этот участок большой
tar togower hingkerideriwan gundewkil bisol	говорили что огонь у них трещит
chisto bichon ekologicheskail	чисто экологический был
hawaldere	работают
enupchu tukkondi erehindem enulon dola	больно вот так начинаю делать больно внутри
taduk musumi	потом вернулся
ekun-da asin	ничего нет
potom wertolet degilchalan hurum neku neku dagin hukulediren	потом когда улетел вертолет я пошел рядом с лабазом лабазом лежит
wamulcha nginakinma heweki	бог рассердился на собаку 
tegeminun nihunehinem-nun dadanunmi	назавтра поехал отвозить тушу с дядей
chipkarwe wadechaw motȳlwa	соболей убивал лосей
nungartyn chulugdyl hegdymemel bichetyn	они чулугды были огромными
da	да
olgisa-da taduk hele taringmi tadu lokoso ajamamat olgodon	высушил и потом-то ее повесил там чтобы хорошо высохла
hokoritte-da malyj stado manawren oron	потеряли малое стадо олень закончился
ekura nikedengol odawer ngoldan tar sipkanngis	что делать 
bi hujukukon bichow togda	я маленькая была тогда
bi nunganman gunil   oril   	я ему стала   
edu ariren edu-ke pastukilkel gunne	сюда позвал сюда говоря пастуши
ekeldu emere eregerit gundene	не приходите никогда говорит
huruwsotyn er ilkendenel hurure	увели делая зарубки пошли
nu togda etot warak gunderen	тогда враг говорит
ekun-mal-ta odan	что-то случилось
ulgurdam on hargiltyki shurungnerew eduk	расскажу как в лес уходим отсюда
menderkangaha bichon	покойный хромой был
amintyn edelin emere taringilbi dajaran	пока их отец не пришел он их спрятал
du̅kakandiwer bichowun	у нас был маденький чумик
mindula ichetcheren	смотрит на меня
turukokittula tas tassangas	на соль пригонишь
er-ke orone asin ewenki eton utolepti emty ine	ведь безоленный эвенк не смог раньше жить
zootehnik omi orody hawalim diplommi upkatpa-na	зоотехником оленным став я отработала целиком свой диплом
bi-ke on nungardutyn turatchem ewedyt horokil	я-то как им скажу по-эвенкийски глухари 
poetomu esikotkon engeni bi engnem ajawre ekur-wel targachira	и сейчас я совсем не люблю что-либо подобное 
bejel ikolde	мужчины запели
i eto wot nungan uzhe zabyla kak po plechi uzhe nachal prowaliwatsa etot wrag	и это вот он уже забыла как по плечи уже начал проваливаться этот враг
tarawer kojiwkotnel ororwe hi busilde bejeldu	заблуждались когда оленей людям раздавать стали
tar walektula duwupkil bichol unguno	в тот валек возили это самое
emere	пришли они
bi du̅duwi to hilkidangnam depdoje wari һuladengnem oһangkarwi һuchudengnem ubirajdengnem	я дома то стираю еду варю камысы скоблю убираю
bi-ke bihem heweki	я-то бог
etyrke̅n һangkeleje odapki nu wot i wso	муж санки делает ну вот и всё
er-ke urkewe angaldende	это самое вдруг двери откроет
zoowettehnikumme manam	зооветехникум закончила
wot tak bichow	вот так я жила
nulgiskot erkordi wot nulgiskot erkordi	давайте поедем на вот этих  на вот этих
esikotkon umukon wnukiw   armijala gara	сейчас один мой внук   в армию забрали
umno amingahaw hururen posoloktula	один раз отец покойный поехал в поселок
taduk hele tar hurusalan hargi tadu horoldeso dagi	а потом когда он ушел черт крутился там рядом
eni duduwer galanun emonmopki	мать дома с галей остается
mewuicha bicho nungarwatyn	он был на них очень рассержен
oj huktyllen tozhe	ой побежала тоже
tadu bichetyn kergentyn hegdil bichetyn	там были семьи их большие были
derewnadu ekun-da achin jablokel ekur-da achir	в деревне ничего ни яблок ничего не было
enokew dewanostyh godah achin ochan	бабушки в девяностых годах не стало
wot ajat indam w obschem	вот я хорошо живу в общем
emeren dulai	пришел домой
tar amakan gunderen  	дедушка сказал  
potomu chto nangmaktadu nungartyn wek lezhat bojatsa komarow w les ne hodat redko nochju tolko oj dolbo tolko dolbo ngenepkil	потому что на комарах они век лежат боятся комаров в лес не ходят редко ночью только ой ночью ходят
eduk-de wek busselderes	теперь вы всегда будете болеть
i nginakir ekun-mal gogodere tadu ulledu	и собаки кого-то лают там на мясе
ange kalakachan bichon munngi taz	это котелок у нас был таз
nu i wse nu i eto ja goworu eto hodim na lyzhah	ну и все ну и это я говорю это ходим на лыжах
bejunme nan eton tuk pektyrore podrad	дикого оленя опять же он так не станет стрелять подряд
huteltin ketememe bisotin	детей у них было много
bi gundem	я думаю
hogdokortyn	хвостики у них
umukon huten	у него один ребенок
tar kungakandui bukokutcha	он умер ребенком
monin hawalildan	сам начал работать
bi gunilim ekel orere tadu angil angil ngonimil bunidere gunilim	я стала говорить не кричи там эти длинные воют стала говорить
uzhe haktyrallan	уже стало темнеть
buran udalin nekerewun wniztiki	по следу бурана мы поехали вниз
mundukare emewuwki	зайцев приносит
angadakarin-te eletyn tumnipchal	сироты-то его все оплеванные
bu gunnorew	мы говорили наверное
tar hutelnunin bidewki tar beje	с его детьми этот человек
tar dulawer irektyn ildewki	когда они заходят домой он заходит
hulukunduf ngenektesowun potaptula orordi	когда я была маленькая мы ездили в потапово на оленях
