ichetnodem	приду посмотреть
hargi emekteson edu bejengilbas tumniren-da hururen dereldutin	черт приходил оплевал твоих людей и ушел на лица им 
gorowo inchon	долго жила
timaltane bu etirke̅nwun dezhuridergu һuteltin adapkil	с утра мы с мужем дежурим наверное дети наши спят
engnekel nunganman ere ehaktara	не делай это не трогай его
inwalid odam er orordu edene hawaldana monmi ugrobichew tuge	инвалидом стал при этих оленях это самое делая работая самого себя угробил вот так
ami mine teruttan guleldulo	отец позвал меня в поселок 
klaradu achin ochan nungan	при кларе ее не стало
ambardu bisowun	на рыботочке амбар мы были
er bi herguduk dundeduk emem	это я пришел с нижней земли
luchamnil girkudara	русские женщины ходят
e nginakir taduk archamkadawki	эх собаки потом выходят навстречу
tadu hojdu tegewkoso dun isewridun	там на тундре он их посадил где был виден его чум
achir oror tare	нет тех оленей
ohala mongnideden	камысы выделывала
tegemije gennodam ullewe	завтра заберу мясо
taduk nungan hururen	потом он ушел
engnem nungarwatin isere tunga anganiwe dan anganiwe	я не вижу их пять лет десять лет
bokonchuchelden nunganman	начал догонять его
taduk gef omolgif sashaw tuge baldisan fewralendu	потом второй сын саша зимой родился в феврале
a kogda amingahaw emengkin	а когда отец покойный приезжал
bi-ke ilmakta bichow	я-то был молодой
ewa ngeliwsipchu guson	что страшного сказал
illan lapeldi	встал на лапы
gunderen	говорит
uchakki ere angim uchakki pustim uchakki	это самое своего ездового оленя отпустила ездового своего
imuren ejan bichon eto	жир такой был это
putewurtin ngopchu	мази их вонючие
angadakarwa dajakal i eto engehijes budem	спрячь сирот и это дам тебе силы
w sorokowom godu w sorokowom godu rodilas	в сороковом году в сороковом году родилась
bi gunem	я сказала
taduk musum	потом вернулся
ekunme gogodepkil tug	кого так лают
ulokis ho guso	ты очень сильно меня обманула  сказал
ngeneren ngeneren	шел шел
bi uzhe kali odam	я уже большая стала
ogon	сделано
hawalim tozhe	я тоже работала
ungtuwunmi gasa	взял бубен
danduk nungun annganisi biso mindu	шестнадцать лет мне было
wot prowodnik gundere	вот проводник говорят
rowduzhnije rukawitsi	ровдужные рукавицы
i goshajadu nginakirwi achir tadu	и у гоши моих собак там нет
ustawatin manasa lukilwatin dawana garpawki mortikitin	всех прикончил хватая их стрелы и стреляя в них самих
sitaduk bejelba owki-da taduk muwe gennewki iduk-pel-da	он сделал людей из глины потом пошел набрать откуда-то воду
muchum	я вернулся
edidukki hukiteje obratno garan	у мужа обратно взяла свой живот
tar hele isewkosilcho tar uganalbi	вот он стал показывать то что принес
ohalba isel ahal	женщины выделали камусы
wot tak wot	вот так вот
horosho angti ekun-ka tadu	хорошо этот самый там
umno nulgischowun	однажды мы аргишили
nemulemnin iwkil ergesin	так они мягко выделывают
so ajat indichetin	очень хорошо жили
tuksama bingkif bi kungakanduji	я быстро бегала в детстве
taringin uliso	та покормила
angilin herangilin tolgokidu bidere	это жерди на санках
sipkaminade kislokandu guniwkil dengkeminadi	охотиться на соболя  в кислокане говорят охотиться на соболя 
onedidangas taringilwi ni-ka alitin ongkolitin	ищешь их по краям их копанины
nu i idu-tonu	ну и туда-сюда
nu a mitkit nawernoje birke hegdi samolot ili nlo	ну а по-нашему наверное большой самолет или нло
wospitiwat omngom one	воспитывать забыла как 
s juga	с юга
ekunma odande	что ты делаешь
ekun nunganman engehin	кто его сильнее
monin chaski ngeneren-de	сама дальше пошла
bejngoje emewuwki	дикого оленя приносит
hutәlwi hәgdiharә	дети выросли
er ahatkanme ewunawer gadas ewa nikodon	для чего вы возьмете эту девочку что вы собираетесь делать
ororwun uch   namasal akchudapkil	наши олени важенки рвались
guso	сказал
potom hihewe hegdikokunme emewren	потом принес огромный камень
buson digin klastu uchitngahiduw	умерла когда я учился в четвертом классе
achin edu oran	здесь не стало
ekun-ka horosho huruchotin	это хорошо они пошли
hu hutow bideren tadu	ребенок есть там
minngi er ehatpi edengo bihim hurure	с моим этим глазом не смогу поехать
edu hawalilchaw	здесь стал работать
ororwe tiningnerewun wesnoj w nachale ijuna chtob kormilis do komarow malenko nabrali 	оленей отпускаем весной в начале июня чтоб кормились до комаров маленько набрали
oj-oj-oj harpukan	ой-ой-ой шутник
hegdingemi-kenche bichon hag   hagdimikan bicho	он был вроде большим большим был
heweki gunderen	бог говорит
nu taduk arankanmɔ umishkanchengnerew	ну потом понемногу выпиваем
ohalwe monngidakal gunne	камысы выделывай – говорила
oj ekun hegdi bichon	ой какой большой был
nu ho engehichihinche nungan aga	он очень сильный
nu pektirelim	ну я выстрелил
beledengkiwun	мы помогали
ngenecho   nulgidechowun gorolo polmesatsa mesats dulinman began oj mesats	аргишили далеко полмесяца полмесяца
tar edo   tododohun hergudu dundedu biso gunne ere emewum hele er ohalba ireksewe satirewe ere	чтобы вы поверили что я был на нижней земле говорит вот я принес эти камусы шкуру песца
brigadir one hawaldashaw hawaldashaw	я работал став бригадиром
dukte bidere	вдвоем они находятся
toli hulukokon bishow	тогда я маленький был
tarit oron kete irgifshon amaski	поэтому оленей много воспитывали раньше
bokonon	догнал
mune epkil gada	нас не берут
bi angim ngolelim	я это испугалась
hajale idudo tukdo	нету нигде так-то
taduk-ta tug-do tadu buso	потом так-то он там умер
minngi ororwi bingkitin	у меня олени были
wot tarit nado hewekiwe wsegda pomnit	вот поэтому надо всегда помнить бога
gundem	говорю
ekumaje-da bultaji bultadengat orondi hurumi	хоть какую добычу оленями пойдя добудем
elewatin otnesli	все отнесли
buren-da tar-da manawren ilo-ke odan	так он умер кончился куда же он денется
bultarew taringngar	добыли его
sowhoztu hawalchaw digin anganiwe	всовхозе работал четыре года
tadu archarewun	там встретили 
epki bichen doldire	не слышала
diktelwe ungkulidecha taringmer	он ягоду в рот клал
nginakin  	собака   
kutuje asindu efkil baldire	у несчастливого не растут
tar dundengdulii hururen hururen	шел шел по своей земле
tar hutelin hanguktawkil bisol	дети стали его спрашивать
kangkit mirenim	быстро вышла замуж
nginakinma gulcho	спросил у собаки
himulawki	молчит
mine tawerke erke utom	меня узнала ли нет ли
eningehe gundesen	мать покойная говорила
a suda	а сюда  
tar minngi entilwi tare mine irgidesol ajat irgire mine	мои приемные родители хорошо вырастили меня
tadu bichowun	там были
tihise tunganama oron batiknen istado woti bingkin tihise tunganama	тысяча пятьсот оленей вплотную стадо было тысяча пятьсот
tar bejetkon udalitin huruso ilkendulitin	тот мальчик пошел по следам по зарубкам
nungan mine anachan i potom huktilchan	он меня толкнул и убежал
idu	где
toli istanokil bishotin	тогда станки были
nu tuksadaraw koje-kak	ну бежим кое-как
tarit-ta taduk-te һujetchowun emehichowun amaskiwer	оттуда потом разъехались поехали обратно
erkondu ichewrit nawernoje birke	отсюда наверное видно было
hurum ichetnom	я пошел пошел посмотреть
tar mut optihiniwki-da taringilin aruwkil bisol	этой водой брызгал и эти его оживали
helekokundi nunganman dasnawan oran	из железа сделал крышку
kak raz bushshedechow toli	я как раз болел тогда
mortin hawaldara	сами работают
dundengtikii hurulmi hurupdengow	когда пойду на свою землю унесу
ang urkedu ujuchededera angma chipkakanme	это у двери привязывали это самое утку
her hergula dundela burum girkudana emukin bultadene	упал на нижнюю землю когда ходил один охотился
potom sadiktu hawalim	потом я работала в детском саду
oror manawulda	олени кончаться стали
a usitchan leningradtu	а училась она в ленинграде
nu a tak chego  	ну а так чего  
aminmi gasan ekunme kruzhkekonme chiktilwe	отец брал это кружечку бисер
nul    nulgichowun-te tselij nulgiw itikirwi ngenewumdek	аргишили-то целый аргиш пока вещи свои отвозил он
nungan emeren	он подходит
dongototchene	замерзает
potom emere	потом они пришли
mirison nungan aminduf ilandar anganisi bine	она вышла замуж за моего отца будучи тридцатилетней
dewugin	пусть поест
nu bingnere tadu	ну бывали там
bi tozhe bi hawalchaf eto kolhoztu hawalilim	я тоже я работала это в колхозе стала работать
tarkakundi angillaw	вот ими стали это самое 
taduk-ta potaptula girkujichawun	оттуда в потапово ездили
prawda bidere dur hunadilwi mirnijdu bidere dur	правда живут две моих дочери живут в мирном
wot ichetchengkiw eninmi  	вот смотрела на маму  
nu	да
okiwa gunipki tegesim esew hare	сколько говорит сидела не знаю
hokonono	жара такая
toli purgalcha bison	тогда пурга началась
tar ulgusondengkitin	так рассказывали они
ekeldu nikogda ekeldu niwe-de ang-ke obizhatte	никого никогда не обижайте
dapkun begasi bisof bi hujukukon	восьмимесячная я была маленькая
a m-m	а м-м
nungan pektireren	он выстрелил
ororwo isesingkin	оленей посмотрит
e tar uchakilin huktilchel tuk-kon	а те учаки его убежали вот так
ororwo gәnnohinәw	оленей отправились забирать
o engehiw achin	о у меня нет сил
e angi er gundem aja bicho bimche	это это самое говорю хорошо было бы
kislokandu indena dan ahisi bisof tadu e-	в кислокане живя женатый был там
eninduji beledengkif	матери помогала
amngawan angakellu chtob nungan juldon tar changit juldon abdundukki	вход откройте чтобы он вышел чтобы медведь вышел из своей берлоги
umukon orondu kinggilon biso	у одного оленя колокольчик был
dilwew potsarapal	голову мне поцарапал
ekunda asin deptiletin asir	ничего нет еды нет
bi ehikon emamija tancheldem eto nungarwatin	я сейчас буду их нарочно тянуть
on tugi ngenewufki-te prowodnik bine	как так отвозит будучи проводником
eninngehe gunderen	мать покойная говорит
nekurwi ilen ahal edu bidere	младшие сестры три здесь живут
dolboltonomok emengnem	только к вечеру прихожу
nulgiktefkil	кочуют
iren umukon dukchala	вошел в один чум
uregendu kaltirdu tadu	на обрыве там на склоне
dumaduk juso-do tepketcho	из чума вышла и покричала
nungartin dezhuridepkil nu a tirga mi bu һawaldangnerewun ni-ge jo̅	они дежурят ну а днем мы мы работаем кто же
taduk ustawatin-te manaran	потом всех прикончил
angi popowi bili tozhe ewengkil	эти поповы были тоже эвенки
uzhe kali osalai nungan hawalildan zwerofermadu	уже став большим он стал работать на звероферме
e nu ertiki zhe unguntiki bine birke nawernoje	да ну туда же в сторону того будучи были наверное
palakineduwer baldim	я выросла в плахине
erdelon hurupsol tar bejewe	совсем унесли того человека
samolet horosho olenej horosho a oleni luchshe	самолет хорошо оленей хорошо а олени лучше
uste bejewe haren beje	человека знает 
ogdokosokonwi karijasanmi lukcha-da amardukin tuksadane	он снял свою парку с шерстью свою замшевую парку и бежит сзади
taduk iremidechowun tali wtoroj stadodu perwij stadodu	оттуда туда в гости ездили во второе стадо в первое стадо
ngelifsipchu-keme erupchu ewiwun-do bimi etekel etekel	очень страшно перестань перестань потому что это плохая игрушка
bejel ororwe gatte	люди оленей разобрали
umno hele beje umukon bultadesa girkudasa sipkamidesa biso	вот однажды один человек охотился ходил охотился на соболей
guso tar beje	сказал тот человек
bejel-ke nungun bisotin bukokutte	мужчин шесть человек было поумирали
wot mom edu indem poselkadu hantajskoje ozero	сама я живу здесь в поселке хантайское озеро
ehi wso ni poselkal dazhe netu	сейчас все ни поселков даже нету
dongotomi edu biso bimchel	если бы замерзли были бы тут
akim uzhe har hagdi odan	брат уже взрослый стал
gde-to nawernoje demngenen tadu birke ekun-ka	где-то наверное там его объедки что-то 
etirkem wasilij iwanowich sururen gennesten orordi sawodalwe genneren emewren	муж мой василий иванович поехал чтобы на оленях привезти вещи забрал привез
uchittangkif uchamidu	учился я в учами
potom chaski sururew hereket hereket hoktet sururew-ke esile	потом в сторону поехали другой тропой поехали тогда
tajmurawa dagraw	через р таймуру переправились
taduk hele nungan nunganman umkanem nan gukanem taduk ganatmasilcha	потом это он его   стал стреляться
amin awipdafki eningehi aminin	отец дорогу делал  отец покойной матери
muchuderaktin ere udadutin ihicha-ke bicho	когда они возвращались он на дороге их догнал
nu nungan tikulden i dawaj tuksahinen	он рассердился и давай бежать
timatne elewon ora	утром все сделали
bi etem hindi girkitedemi	я не буду с тобой дружить
hulukunduf bu nulgiktedengkiwun ere ambarduli kulumbeli	когда я была маленькая мы аргишили на этом самом по рыботочке амбар вдоль речки кулюмбе 
dudinkala norilskaduk walektu	в дудинку из норильска на валек
mudu er-ke ange irgektelduk tegetchechotin	в воде сидят от паутов
gunne dumajcha tar beje	подумал тот человек
ororwun hutole kete bisotin	оленей у нас раньше много было
taduk nan ulumu    ulumingnerew ulu   ulumongnerew	потом опять уезжаем белковать
bi ungtuwune okta er irekseduk	я сделаю бубен из этой шкуры
ketewo orolorwe bungkitin orolongme	много оленеводам мы давали оленеводу
ujden ajat	хорошенько привязал
amaski tepkedana tuksadam	назад я побежала крича
tar ireksengmi angdan-da oran tar ungtuwune ehi tar hektakarduk mojan okanem	сделав из тальника каркас он шкуру это самое и вот он сделал бубен
inektengkitin	смеялись они
eninmes huruwren	твою мать увел
nu prodajdangkin zdawaj zdaningkin magazinduda tar kak trudodni	ну продавала сдавала в магазин-то как трудодни
eduk oran mugdekon	откуда взялся пень
ororwo ajichimni	оленей лечащей врачом оленей
moladengkif	дрова готовила
ungtuwunmi gakanem ungtuwunmi luhu duktedene ojitin	взяв бубен в бубен все время колотя наверху
no wso rawno etem omngore	но все равно не забуду
potom turpakadu shkolnij mis	потом на турпаке  школьный мыс
achin bichon edu mugdekon	не было пня
wadende	ты убьешь 
goworit nungan	говорит он
wasilij	василий
hodu gorodu utole umukon beje bultadena emukin girkudana erdelon ekun-mal jamadun buruso	давным-давно один человек когда охотился когда ходил один упал совсем в какую-то яму
kotorij dunde tala emenmuren ugilo ohiktakardi odan	земля которая осталась там наверху стала звездочками
guson	сказал
wot hagdandulaji ulditchengkin	до старости шила
ewande echew erakade	ничего я не это самое 
potomu chto eche huktille muntiki	потому что не побежал к нам
no enin   eninmun umukin mune angedechan i  	но наша мама одна нас это  
kan nungan ofkandingkin er nawehi nawehilwe	именно он велел делать навесы
dinngilegicho tepkedene nungardulatin	побежал ревя к ним
ehi hunmiktel nawalom	сейчас мошки навалом
w upor pektirochon	в упор он выстрелил
mikchanem uguchaktiki	спрыгнул к оленю
bi hine nodadingaw eregerit	я тебя совсем брошу
i obed ngenechelen nulgistew nulgistew wpered	и когда обед прошел начинали аргишить начинали аргишить вперед
bi ichedem ongokton bagdamacha belij polosa bagdama	я вижу у него нос побелел белая полоса
ni nekunmite achin bisonne	ни младшего не было
amtachan nungarwatin-ka	он почуял их
bi bangnem on brigadir bidem gunne	я отказываюсь говоря как буду бригадиром
nungan ngolepkonen nginakirwa	он испугал собак
ikoleptidi   uguchaktu tegetchene ikodene ngenedewki uguchak i doldim	я ехал сидя на на верховом олене и пел и услышал
umnekorte ekun emeren mutpe ewedit alagudaje	редко кто пришел нас по-эвенкийски научить
eninmi paka indechon dudu edu tozhe jerbekedu eninunmi ulguchematchengkiw	мама пока жила дома здесь в ербогачене с мамой разговаривала 
wot ehi ehaja asin odam wot teper	вот сейчас без глаза стала теперь
nu nawernoje birke	ну наверное
gramatew asin wse rawno ulgusoningnem tugu tugu tuge ajisingnem ororwo tugu tugu ongnokorwe baldiwungnerew gundene	грамоты у меня нет все равно рассказываю говоря так так так лечу оленей их так так телят выращиваю
ekun-ka uchastok hogdinga	этот участок большой
hawaldere	работают
ekun-da asin	ничего нет
potom wertolet degilchalan hurum neku neku dagin hukulediren	потом когда улетел вертолет я пошел рядом с лабазом лабазом лежит
wamulcha nginakinma heweki	бог рассердился на собаку 
chipkarwe wadechaw motilwa	соболей убивал лосей
nungartin chulugdil hegdimemel bichetin	они чулугды были огромными
olgisa-da taduk hele taringmi tadu lokoso ajamamat olgodon	высушил и потом-то ее повесил там чтобы хорошо высохла
hokoritte-da malij stado manawren oron	потеряли малое стадо олень закончился
ekura nikedengol odawer ngoldan tar sipkanngis	что делать 
bi hujukukon bichow togda	я маленькая была тогда
bi nunganman gunil   oril   	я ему стала   
edu ariren edu-ke pastukilkel gunne	сюда позвал сюда говоря пастуши
ekeldu emere eregerit gundene	не приходите никогда говорит
huruwsotin er ilkendenel hurure	увели делая зарубки пошли
ekun-mal-ta odan	что-то случилось
ulgurdam on hargiltiki shurungnerew eduk	расскажу как в лес уходим отсюда
menderkangaha bichon	покойный хромой был
amintin edelin emere taringilbi dajaran	пока их отец не пришел он их спрятал
du̅kakandiwer bichowun	у нас был маденький чумик
mindula ichetcheren	смотрит на меня
er-ke orone asin ewenki eton utolepti emti ine	ведь безоленный эвенк не смог раньше жить
zootehnik omi orodi hawalim diplommi upkatpa-na	зоотехником оленным став я отработала целиком свой диплом
bi-ke on nungardutin turatchem ewedit horokil	я-то как им скажу по-эвенкийски глухари 
poetomu esikotkon engeni bi engnem ajawre ekur-wel targachira	и сейчас я совсем не люблю что-либо подобное 
bejel ikolde	мужчины запели
i eto wot nungan uzhe zabila kak po plechi uzhe nachal prowaliwatsa etot wrag	и это вот он уже забыла как по плечи уже начал проваливаться этот враг
tarawer kojiwkotnel ororwe hi busilde bejeldu	заблуждались когда оленей людям раздавать стали
tar walektula duwupkil bichol unguno	в тот валек возили это самое
emere	пришли они
bi-ke bihem heweki	я-то бог
etirke̅n һangkeleje odapki nu wot i wso	муж санки делает ну вот и всё
er-ke urkewe angaldende	это самое вдруг двери откроет
zoowettehnikumme manam	зооветехникум закончила
wot tak bichow	вот так я жила
nulgiskot erkordi wot nulgiskot erkordi	давайте поедем на вот этих  на вот этих
esikotkon umukon wnukiw   armijala gara	сейчас один мой внук   в армию забрали
umno amingahaw hururen posoloktula	один раз отец покойный поехал в поселок
taduk hele tar hurusalan hargi tadu horoldeso dagi	а потом когда он ушел черт крутился там рядом
mewuicha bicho nungarwatin	он был на них очень рассержен
oj huktillen tozhe	ой побежала тоже
tadu bichetin kergentin hegdil bichetin	там были семьи их большие были
derewnadu ekun-da achin jablokel ekur-da achir	в деревне ничего ни яблок ничего не было
wot ajat indam w obschem	вот я хорошо живу в общем
emeren dulai	пришел домой
tar amakan gunderen  	дедушка сказал  
potomu chto nangmaktadu nungartin wek lezhat bojatsa komarow w les ne hodat redko nochju tolko oj dolbo tolko dolbo ngenepkil	потому что на комарах они век лежат боятся комаров в лес не ходят редко ночью только ой ночью ходят
eduk-de wek busselderes	теперь вы всегда будете болеть
i nginakir ekun-mal gogodere tadu ulledu	и собаки кого-то лают там на мясе
ange kalakachan bichon munngi taz	это котелок у нас был таз
nu i wse nu i eto ja goworu eto hodim na lizhah	ну и все ну и это я говорю это ходим на лыжах
bejunme nan eton tuk pektirore podrad	дикого оленя опять же он так не станет стрелять подряд
huteltin ketememe bisotin	детей у них было много
hogdokortin	хвостики у них
umukon huten	у него один ребенок
tar kungakandui bukokutcha	он умер ребенком
monin hawalildan	сам начал работать
bi gunilim ekel orere tadu angil angil ngonimil bunidere gunilim	я стала говорить не кричи там эти длинные воют стала говорить
uzhe haktirallan	уже стало темнеть
mundukare emewuwki	зайцев приносит
bu gunnorew	мы говорили наверное
tar hutelnunin bidewki tar beje	с его детьми этот человек
tar dulawer irektin ildewki	когда они заходят домой он заходит
hulukunduf ngenektesowun potaptula orordi	когда я была маленькая мы ездили в потапово на оленях
ami ohotnik bichon	отец был охотником
tadu zhe napugal oronmo	там же напугал оленя
ekunma orordi emeren	кто-то на оленях приехал
ama tar kak jego   	дедушка тот как его  
umukon gulewun tolko	один дом только
angi luchal kokoldoltin zhe	это самое рукавицы русских же
angil oror ngenedere	эти олени идут
nungartin ngenedepkil chuluk-chuluk-chuluk	они ходили чулук-чулук-чулук
bi-ke hagdisangehiji-ne ekun odam	старый стал что буду делать 
hawalkira hawalmnitin oran	работящий   стал у них работником
no ungunbele adelinaje huruwren	но он эту самую аделину свою повез
taduk er turula emewungkitin gurushshikil	потом это в туру привозили грузчики
ekun tawer gunderen	кто там говорит
hukewe bure hegdikokun	топор дали огромный
starajawe metrikawa bakachawun a   mohadu	cтарую метрику нашли в лесу
toli aja bich   aja toli	тогда хорошо  тогда  
hele mangi ahi kelter huktillen ilandi mangil bejeldi	вот медведица в другую сторону побежала с тремя медведями-самцами
mirenim	вышла замуж
tar sowhoztu bi hawalilchaw	в этом совхозе я стал работать
tar bejewe iseso tar degi-kinggit kinggit tare	того человека увидел эта птица кингит звенящий
w ochkah hodil wse wrema u nego spetsialnije takije ochki	в очках ходил все время у него специальные такие очки
hele hururew hururew ngelifsijoj ngelifsi	вот уйдем уйдем страшно страшно
taduk stadolatin nulgirewun	оттуда мы в стадо аргишили
hinngi opitis hegdi	у тебя опыт большой
danduk tunnga annganiw bison tadu	пятнадцать лет мне было
nunganman-mok-kon ewkil ejdere daran girkudariwa	совершенно не замечают его когда он ходит рядом
timatne alatten tirganiwe	наутро ждала целый день
upkachin ange gar achin eche degde ere bire jesli birekin tar mugdekon	всё гари не было если бы это был пень 
edu hargi girkudawki dagi	здесь черт ходит рядом
tozhe ilmakta bisof	я тоже молодая была
jesche epkit bichon	еще нельзя было
frontaduk iso	с фронта еще
no i nungun wnuchatilwi bihe	ну и шестеро внучат у меня есть
umukon kergendu orortin hjerdutin hunngtu ekurtin hamelkitin	в одной семье на ушах оленей одни эти самые отметка
changit tar changitpa tare angiwat choknagat	давай это самое пойдем убьем того медведя 
ganatmatchewkil	долго стрелялись
lusadit nungartin ere tare minduli jangure	по-русски они со мной не говорят
indemchel	жили бы
hele etejetchekel bejengilbew	давай сторожи моих людей
engkiw gorojo hawalda	не мог долго работать 
ganalchiltiki guso	стрелкам сказал 
haktiralcha uzhe	темнеть уже стало
nu umuken halgachichil	ну одноногие
ichem abachiwa	увидел медведя
angja okel gunen	это самое сделай она сказала
haktirila huruwki	она ходила в темноту
ilodo poka edoi hurure nekedam pensionerka	никуда уезжать не собираюсь пенсионерка
duktedutin ugranda tare	он сел на них двоих
iheldu ho biwki igin	на камнях был сильный шум
ja bi gunim ke esile kamana dawakat angilwar uchakilwe	я сказала давайте сейчас скорей поймаем этих учаков
tare wmestodun hawalchaw-da ter ispolnajuschim direktorom	вместо него я и работал тем исполняющим директором
eduk etende	отсюда ты уйдешь
hawal idu-de echew hawaldara	нигде не работаю
kungakanduji bi tuksektadaji ekengkif ewideji ahatkarnun	в детстве я побегать хотела поиграть с девочками
ilo bolshe odere	куда еще денутся
sowhoztu sdawangkin	в совхоз сдавал
potom bakaran umukon kergenma huteja asir	потом нашел одну семью бездетную
tarildi dolboni tirgani gurusipkil burdukalwo ustawan-te	с ними ночь день грузили муку все подряд
umno huruso bejetkon tare	один раз пошел этот мальчик
angilwe bagdakelwe wadakilwer tare debdere	диких оленей убив едят
taduk bi doldim	потом я услышала
tunnga annganiw minngiw asin bison	пяти лет мне не было
i toli doldillew doldirew	тогда мы услышали услышали
ngenedeso	шел
sipkanme dengkewa gogodaran	соболя соболя лает
no potom gunderen ngeletchepkil judawer tuliski	но потом говорит боятся выходить на улицу
nu taduk okildewe tam ilaldawo wsego nulgichowun darkinduwain	ну оттуда сколько дней там три дня всего аргишили по хорошему насту
gune-ke ehikon chiktil ketememe onotolis	говорила что сейчас бисера очень много только бы заниматься
taduk nungan icheren hegdikorwa angi   halgarwe	потом он увидел большие ноги 
jehelduk chirindalduk bajkisilduk hirulwe menajingkiwun	из ессея из чиринды из байкита меняли быков
ami dalshe huru chaski huruden mohawe chaski	отец дальше поедет в лес дальше
potom uzhe ilitin tirgani hururen	потом уже третий день пошел
eningehew chatipkalden-da i ulgusolden	мать покойная чаем напоила и рассказала
ekel duktere	не бей
urkewa angasildende	двери начнет открывать
tadu bejur togda ugduhichel bichetin	туда дикие олени тогда залезли
nu menngilduk dunnelduk gangkitin tar ewenkil antil erupchut indechatin	ну со своих земель брали те эвенки которые плохо жили
bu orolorwun defkittikiwun	оленеводам нашим наши продукты 
nu tolko durwe hami nimngakar	ну только две знаю сказки
nungartin ngelle	они испугались
zherdi ange zherdilwe tar molwe notte gde u nego amngan	жерди палки разложили где у него вход
bi gunim	я подумала
doldiren chulugdi emedere	услышал чулугды приходят
tug oronmi irgidefki-to oronmi irgiwdon koroppan menat nado hirulwe menattengat	так оленя воспитывают чтобы оленя воспитывать важенок менять надо быков менять будем
i icherew tadu aminmun ororin uchakilin tegetchere	и увидели там олени учаки нашего отца лежат 
kungakan tarin luhu baldidana hanguktawki	ребенок этот все время пока рос спрашивал
girkundakal idu-de guse	гуляй повсюду сказал
tala nawernoje birke	там  наверное был
umukonme mangiwa ahadere nungun binel ahiwa mangiwa	одного медведя гонят вшестером медведицу
mortin isette hoktewer	сами смотрели дорогу свою
bagdakele ichetnehinem	поехал диких смотреть
hutelin tadu bidewkil	его дети там были
nadaldawe nulgichowun kun   tala	семь дней аргишили потом
no wso rawno upkat uzhe pochti luchadit upkat hengketchepkil	но все равно уже все почти по-русски говорят
shura nu	шура да
tari tar tadu du̅tarawun inerewun	вот там пожили в чуме побыли
ebej beje ekel ngelifse bidegin	ах человек не надо страшно пусть будет
ela nungarwatin nodam	куда я их дену
nungan gunen	он говорит
hele ewiwunewer odam	вот игрушку сделаю
minngi amim bison gerbin dada ewedi gerbin dada	моего отца звали дада  эвенкийское имя дада
hajale tala nginakir goshajadu	нет там собак у гоши
bri brizgewettere	брызгают они
guso tar hutelwon	сказал он детям
bi nan tuksasinem karabindulai	я опять побежал к карабину
ilan tirganil ngenechalatin emeren	когда прошло три дня пришла
a to huwer ribakil bichol ere amingahaste	а то вы были рыбаки этот отец твой покойный
dapkidui hurusow dapkun annganidu	на восьмом пошел в восемь лет
potom potaptuk nungarnuntin emehilderew	потом из потапова с ними стали ехать 
bumulifkil oror hingnene	умирающие олени жалко очень
gune	они сказали
dunnela burum	я упала на землю
dur hutesi etirkosi hawaldaran tadu	с двумя детьми замужняя работает она там
menmaktel irgektel ororwo-ke kikchafkil	комары пауты оленей-то кусают
murukedawki amutwa murukedawki	кружил кружил вокруг озера
a bi hele amaski muchuwohindem hele uldengilwan uldelwo	а я вот назад отвожу мясо принадлежащее ему мясо
ih nikak echew albaraw dawadami	так их никак не не смогли мы поймать
mom elo hele emesow	сам сюда вот приехал
nu ulguchondem	ну расскажу
taduk ele tar ekonem nawkane amakan lukilwen hele perem olcha ajamamale	потом вот не попав дедушка стал делать настоящие стрелы очень хорошие
eduk etem hindi girkitare	другом тебя больше не буду считать
etejetchengkin amingehe	покойный отец сторожил
kenggilortin kenggilorin doldim	их колокольчики его колокольчики услышала
emere-de udalin	приехали по следу
potom delkendui ejewel gadai tuktiso biso	потом на лабаз что-то взять залез
togda warak gundene	тогда враг говорит
hutelwi dewdotin tar dugudewki biso tar kinggit	тот кингит приносил детям поесть
a oror tozhe ngelelchel bipkil	олени тоже испуганные были
tolgokiduktepi jum ami noguju uitchenman poka	я вышла из своих санок пока отец привязывал передового оленя
pustire nunganman	отпустили его
ilda	встали
mesto aja tozhe	место хорошее тоже
amakatkanme hujukukonme dawudechatin	они поймали маленького медвежонка
ere ganalchil emesoldo	вот стрелки пришли
edin hukugicho nungarigitin	ветер стал отворачиваться от них
ekur ilkendekisiltin	чьи это зарубки
ahal nadan tolgokitin bifkil bejelngil danduk dure danduk ilan binel	у женщин семь саней грузовых было у мужчин двенадцать тринадцать было
eja-wel ekungan binoro gundene nikoso	кто откуда могут быть вот он говорит
choknastew changittula	пошли убивать к медведю
ertiki amutkan hegdinge ichebdepki	туда озеро большое виднеется
huliwun odan	все стало
tar beje jangu jangurakin togotin hingkewki biso   hingkeridewki	когда тот человек говорит у них трещит огонь
tunnga metrit taringitin burucho bicho	в пяти метрах он упал
taduk haman tegeren	потом шаман сел
sura bichon	шура была
horosho  	хорошо  
ilkendulitin hurukel	иди по их зарубкам
beje beje girkin odangas	будешь другом человека
ojin hariktalcha	над ним начал парить
mola mola 	дров дров 
toli edu bison sowhoz	тогда здесь был совхоз
hatanawa er guso elewel bingnedere gundene	черта этого говорит какие-то бывают
bi kungakan toli aminmi luhu beledengkif	я ребенок тогда отцу своему всегда помогал
dadaw jokellen	дядя закричал
eninngeheji bi ajat donchadam	мать свою покойную я хорошо помню
tak arkichatin ehawew tar	так они проткнули тот мой глаз
eterew eregerit eduk isewulde	с этих пор никогда не станем показываться на глаза 
hutelin oda	у него появились дети
